x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB
3.90625000e-03,1.99218750e-01,2.36759378e-01,-5.37146926e-01,3.43276841e-02,0.00000000e+00,1.90729783e-01,-1.56252587e-01,-1.09791929e-01,0.00000000e+00,0.00000000e+00,-5.84288487e-01
3.90625000e-03,2.07031250e-01,2.34019260e-01,-5.37025775e-01,2.63703147e-02,0.00000000e+00,1.88330617e-01,-1.62204026e-01,-1.29848509e-01,0.00000000e+00,0.00000000e+00,-6.76770588e-01
3.90625000e-03,2.14843750e-01,2.31498131e-01,-5.38485459e-01,2.02361933e-02,0.00000000e+00,1.86391973e-01,-1.64917823e-01,-1.46166600e-01,0.00000000e+00,0.00000000e+00,-7.00034930e-01
3.90625000e-03,2.22656250e-01,2.29566809e-01,-5.41055957e-01,1.55710363e-02,0.00000000e+00,1.85403113e-01,-1.63812202e-01,-1.58123203e-01,0.00000000e+00,0.00000000e+00,-6.79426985e-01
3.90625000e-03,2.30468750e-01,2.28460377e-01,-5.43357408e-01,1.20666072e-02,0.00000000e+00,1.85602562e-01,-1.58994562e-01,-1.65589715e-01,0.00000000e+00,0.00000000e+00,-6.38426406e-01
3.90625000e-03,2.38281250e-01,2.28201927e-01,-5.43592627e-01,9.43087514e-03,0.00000000e+00,1.86900440e-01,-1.51258279e-01,-1.68868612e-01,0.00000000e+00,0.00000000e+00,-5.92038912e-01
3.90625000e-03,2.46093750e-01,2.28609567e-01,-5.40892136e-01,7.22148654e-03,0.00000000e+00,1.88957162e-01,-1.41943110e-01,-1.68448196e-01,0.00000000e+00,0.00000000e+00,-5.27003637e-01
3.90625000e-03,2.53906250e-01,2.29349874e-01,-5.36431493e-01,4.84584653e-03,0.00000000e+00,1.91334737e-01,-1.32722082e-01,-1.64761475e-01,0.00000000e+00,0.00000000e+00,-4.01805409e-01
3.90625000e-03,2.61718750e-01,2.30082337e-01,-5.33544125e-01,1.87956348e-03,0.00000000e+00,1.93683632e-01,-1.25264461e-01,-1.58091469e-01,0.00000000e+00,0.00000000e+00,-1.85491791e-01
3.90625000e-03,2.69531250e-01,2.30695848e-01,-5.36149411e-01,-1.58723461e-03,0.00000000e+00,1.95905326e-01,-1.20864087e-01,-1.49068840e-01,0.00000000e+00,0.00000000e+00,9.75362485e-02
3.90625000e-03,2.77343750e-01,2.31453210e-01,-5.46135458e-01,-5.05717300e-03,0.00000000e+00,1.98188228e-01,-1.20148356e-01,-1.38979025e-01,0.00000000e+00,0.00000000e+00,3.92462974e-01
3.90625000e-03,2.85156250e-01,2.32778265e-01,-5.61445332e-01,-8.04505858e-03,0.00000000e+00,2.00861510e-01,-1.22739937e-01,-1.29281333e-01,0.00000000e+00,0.00000000e+00,6.56244899e-01
3.90625000e-03,2.92968750e-01,2.34905752e-01,-5.76803802e-01,-1.05197852e-02,0.00000000e+00,2.04146885e-01,-1.27396704e-01,-1.21245301e-01,0.00000000e+00,0.00000000e+00,8.64883669e-01
3.90625000e-03,3.00781250e-01,2.37669482e-01,-5.86597886e-01,-1.31506251e-02,0.00000000e+00,2.07911095e-01,-1.33035727e-01,-1.15939980e-01,0.00000000e+00,0.00000000e+00,1.00434982e+00
3.90625000e-03,3.08593750e-01,2.40522711e-01,-5.87611781e-01,-1.71302049e-02,0.00000000e+00,2.11603146e-01,-1.39578874e-01,-1.14289600e-01,0.00000000e+00,0.00000000e+00,1.06180600e+00
3.90625000e-03,3.16406250e-01,2.42722654e-01,-5.79694798e-01,-2.36824164e-02,0.00000000e+00,2.14413742e-01,-1.47768137e-01,-1.17056217e-01,0.00000000e+00,0.00000000e+00,1.02364472e+00
3.90625000e-03,3.24218750e-01,2.43535941e-01,-5.64647994e-01,-3.35501300e-02,0.00000000e+00,2.15500169e-01,-1.58444694e-01,-1.24767801e-01,0.00000000e+00,0.00000000e+00,8.80326247e-01
3.90625000e-03,3.32031250e-01,2.42365557e-01,-5.44924526e-01,-4.66899604e-02,0.00000000e+00,2.14133717e-01,-1.72074246e-01,-1.37613289e-01,0.00000000e+00,0.00000000e+00,6.40206798e-01
3.90625000e-03,3.39843750e-01,2.38787101e-01,-5.22987287e-01,-6.23258814e-02,0.00000000e+00,2.09765085e-01,-1.88673320e-01,-1.55244274e-01,0.00000000e+00,0.00000000e+00,3.54684331e-01
3.90625000e-03,3.47656250e-01,2.32617646e-01,-4.99781984e-01,-7.91615926e-02,0.00000000e+00,2.02271827e-01,-2.07155199e-01,-1.76449855e-01,0.00000000e+00,0.00000000e+00,6.02382074e-03
3.90625000e-03,3.55468750e-01,2.23313189e-01,-4.82795518e-01,-9.87759038e-02,0.00000000e+00,1.90648126e-01,-2.29694486e-01,-2.00864456e-01,0.00000000e+00,0.00000000e+00,-1.35371618e-01
3.90625000e-03,3.63281250e-01,2.10858136e-01,-4.80062345e-01,-1.20248868e-01,0.00000000e+00,1.74779195e-01,-2.57820199e-01,-2.26030343e-01,0.00000000e+00,0.00000000e+00,1.87299567e-01
3.90625000e-03,3.71093750e-01,1.97820689e-01,-4.82502222e-01,-1.38565492e-01,0.00000000e+00,1.58106363e-01,-2.85703436e-01,-2.41580956e-01,0.00000000e+00,0.00000000e+00,5.22860408e-01
3.90625000e-03,3.78906250e-01,1.86042300e-01,-4.79603070e-01,-1.50973678e-01,0.00000000e+00,1.43152807e-01,-3.08231522e-01,-2.50917478e-01,0.00000000e+00,0.00000000e+00,5.10207151e-01
3.90625000e-03,3.86718750e-01,1.76799975e-01,-4.70099967e-01,-1.57460243e-01,0.00000000e+00,1.30947728e-01,-3.24636973e-01,-2.55225508e-01,0.00000000e+00,0.00000000e+00,4.45697965e-01
3.90625000e-03,3.94531250e-01,1.70109744e-01,-4.53512761e-01,-1.58050804e-01,0.00000000e+00,1.21480876e-01,-3.35704670e-01,-2.55930864e-01,0.00000000e+00,0.00000000e+00,3.57709417e-01
3.90625000e-03,4.02343750e-01,1.65734231e-01,-4.30322099e-01,-1.53341718e-01,0.00000000e+00,1.14399848e-01,-3.42570259e-01,-2.54278859e-01,0.00000000e+00,0.00000000e+00,2.54317531e-01
3.90625000e-03,4.10156250e-01,1.63295506e-01,-4.01602609e-01,-1.44297299e-01,0.00000000e+00,1.09211238e-01,-3.46381495e-01,-2.51323007e-01,0.00000000e+00,0.00000000e+00,1.37150110e-01
3.90625000e-03,4.17968750e-01,1.62439338e-01,-3.68855382e-01,-1.32069746e-01,0.00000000e+00,1.05480386e-01,-3.48126308e-01,-2.47849006e-01,0.00000000e+00,0.00000000e+00,1.61283780e-02
3.90625000e-03,4.25781250e-01,1.62829785e-01,-3.33416078e-01,-1.17776428e-01,0.00000000e+00,1.02880661e-01,-3.48500984e-01,-2.44284009e-01,0.00000000e+00,0.00000000e+00,-1.10859753e-01
3.90625000e-03,4.33593750e-01,1.64209437e-01,-2.96566778e-01,-1.02437974e-01,0.00000000e+00,1.01228724e-01,-3.47917708e-01,-2.41034476e-01,0.00000000e+00,0.00000000e+00,-2.44787782e-01
3.90625000e-03,4.41406250e-01,1.66410303e-01,-2.59557286e-01,-8.69505285e-02,0.00000000e+00,1.00463913e-01,-3.46558158e-01,-2.38128286e-01,0.00000000e+00,0.00000000e+00,-3.73398279e-01
3.90625000e-03,4.49218750e-01,1.69412353e-01,-2.23049041e-01,-7.18100950e-02,0.00000000e+00,1.00743135e-01,-3.44176628e-01,-2.35241165e-01,0.00000000e+00,0.00000000e+00,-4.98058801e-01
3.90625000e-03,4.57031250e-01,1.73479330e-01,-1.86956273e-01,-5.70646970e-02,0.00000000e+00,1.02526273e-01,-3.39945551e-01,-2.31737623e-01,0.00000000e+00,0.00000000e+00,-6.26455229e-01
3.90625000e-03,4.64843750e-01,1.79120999e-01,-1.51100809e-01,-4.25294107e-02,0.00000000e+00,1.06515954e-01,-3.32567875e-01,-2.26561105e-01,0.00000000e+00,0.00000000e+00,-7.47245810e-01
3.90625000e-03,4.72656250e-01,1.86523322e-01,-1.16354233e-01,-2.85981024e-02,0.00000000e+00,1.13362229e-01,-3.20717588e-01,-2.17894820e-01,0.00000000e+00,0.00000000e+00,-7.98845631e-01
3.90625000e-03,4.80468750e-01,1.95382237e-01,-7.76681726e-02,-1.47033434e-02,0.00000000e+00,1.24868943e-01,-3.00223141e-01,-2.02810844e-01,0.00000000e+00,0.00000000e+00,-8.99819796e-01
3.90625000e-03,4.88281250e-01,2.04877725e-01,-4.70267266e-02,-4.50410437e-03,0.00000000e+00,1.41007936e-01,-2.68622488e-01,-1.78879550e-01,0.00000000e+00,0.00000000e+00,-7.35014701e-01
3.90625000e-03,4.96093750e-01,2.07911370e-01,-1.28072902e-01,-2.33724478e-02,0.00000000e+00,1.47666337e-01,-2.61637250e-01,-1.36859697e-01,0.00000000e+00,0.00000000e+00,1.45871694e+01
3.90625000e-03,5.03906250e-01,2.20416820e-01,8.79133392e-02,-6.30894559e-02,0.00000000e+00,1.59958958e-01,1.86487244e-01,1.33539378e-01,0.00000000e+00,0.00000000e+00,-1.21924420e+01
3.90625000e-03,5.11718750e-01,2.04899612e-01,4.01695585e-02,-3.34709164e-02,0.00000000e+00,1.46474161e-01,2.03161782e-01,1.57763649e-01,0.00000000e+00,0.00000000e+00,-3.89421720e+00
3.90625000e-03,5.19531250e-01,1.94990674e-01,7.68529851e-02,-7.48093709e-03,0.00000000e+00,1.29698302e-01,2.51566967e-01,1.90387878e-01,0.00000000e+00,0.00000000e+00,-1.69682046e+00
3.90625000e-03,5.27343750e-01,1.86661189e-01,1.20694177e-01,1.50454937e-02,0.00000000e+00,1.15792900e-01,2.86718899e-01,2.10863562e-01,0.00000000e+00,0.00000000e+00,-1.11319514e+00
3.90625000e-03,5.35156250e-01,1.79101827e-01,1.56458861e-01,3.35993605e-02,0.00000000e+00,1.07018466e-01,3.08887595e-01,2.23365654e-01,0.00000000e+00,0.00000000e+00,-8.51335930e-01
3.90625000e-03,5.42968750e-01,1.73010596e-01,1.92992463e-01,5.12297533e-02,0.00000000e+00,1.01472749e-01,3.23463789e-01,2.31020108e-01,0.00000000e+00,0.00000000e+00,-6.33763124e-01
3.90625000e-03,5.50781250e-01,1.68568514e-01,2.29095545e-01,6.79572911e-02,0.00000000e+00,9.85885634e-02,3.32377089e-01,2.35951637e-01,0.00000000e+00,0.00000000e+00,-4.71497200e-01
3.90625000e-03,5.58593750e-01,1.65353783e-01,2.65105619e-01,8.44768450e-02,0.00000000e+00,9.75472616e-02,3.37665920e-01,2.39698744e-01,0.00000000e+00,0.00000000e+00,-3.47200179e-01
3.90625000e-03,5.66406250e-01,1.62979473e-01,3.01612653e-01,1.01325518e-01,0.00000000e+00,9.77045766e-02,3.40817436e-01,2.43253137e-01,0.00000000e+00,0.00000000e+00,-2.39588423e-01
3.90625000e-03,5.74218750e-01,1.61297667e-01,3.38549868e-01,1.18610297e-01,0.00000000e+00,9.87204333e-02,3.42607375e-01,2.47228908e-01,0.00000000e+00,0.00000000e+00,-1.35409072e-01
3.90625000e-03,5.82031250e-01,1.60343824e-01,3.75167606e-01,1.35949522e-01,0.00000000e+00,1.00499805e-01,3.43264394e-01,2.51815116e-01,0.00000000e+00,0.00000000e+00,-3.73672366e-02
3.90625000e-03,5.89843750e-01,1.60301015e-01,4.10459770e-01,1.52688836e-01,0.00000000e+00,1.03108282e-01,3.42678955e-01,2.56807869e-01,0.00000000e+00,0.00000000e+00,6.08256094e-02
3.90625000e-03,5.97656250e-01,1.61462313e-01,4.43093007e-01,1.67901390e-01,0.00000000e+00,1.06773040e-01,3.40408347e-01,2.61939026e-01,0.00000000e+00,0.00000000e+00,1.61881506e-01
3.90625000e-03,6.05468750e-01,1.64159440e-01,4.71439108e-01,1.80482774e-01,0.00000000e+00,1.11838248e-01,3.35718254e-01,2.66612925e-01,0.00000000e+00,0.00000000e+00,2.59781330e-01
3.90625000e-03,6.13281250e-01,1.68747819e-01,4.93907082e-01,1.89336277e-01,0.00000000e+00,1.18739393e-01,3.27670889e-01,2.70053420e-01,0.00000000e+00,0.00000000e+00,3.46688575e-01
3.90625000e-03,6.21093750e-01,1.75515265e-01,5.09279911e-01,1.93440445e-01,0.00000000e+00,1.27891263e-01,3.15269232e-01,2.71204839e-01,0.00000000e+00,0.00000000e+00,4.12844385e-01
3.90625000e-03,6.28906250e-01,1.84593610e-01,5.17013051e-01,1.92298262e-01,0.00000000e+00,1.39551380e-01,2.97611474e-01,2.68911920e-01,0.00000000e+00,0.00000000e+00,4.32149481e-01
3.90625000e-03,6.36718750e-01,1.95256779e-01,5.17522129e-01,1.85629793e-01,0.00000000e+00,1.53310394e-01,2.74755710e-01,2.61857166e-01,0.00000000e+00,0.00000000e+00,2.45382107e-01
3.90625000e-03,6.44531250e-01,2.06256954e-01,5.17320415e-01,1.75753536e-01,0.00000000e+00,1.67886389e-01,2.49388744e-01,2.47488652e-01,0.00000000e+00,0.00000000e+00,-2.37893297e-01
3.90625000e-03,6.52343750e-01,2.15843123e-01,5.29582384e-01,1.65186018e-01,0.00000000e+00,1.80434521e-01,2.26987294e-01,2.26796132e-01,0.00000000e+00,0.00000000e+00,-3.99223283e-01
3.90625000e-03,6.60156250e-01,2.23153136e-01,5.50590955e-01,1.59096503e-01,0.00000000e+00,1.89484879e-01,2.08333724e-01,2.08354005e-01,0.00000000e+00,0.00000000e+00,-1.46747623e-01
3.90625000e-03,6.67968750e-01,2.28400397e-01,5.70913629e-01,1.53621488e-01,0.00000000e+00,1.95974518e-01,1.90749486e-01,1.91167035e-01,0.00000000e+00,0.00000000e+00,8.00577448e-02
3.90625000e-03,6.75781250e-01,2.31501836e-01,5.88783543e-01,1.48923638e-01,0.00000000e+00,1.99819591e-01,1.74946518e-01,1.76843896e-01,0.00000000e+00,0.00000000e+00,3.30398612e-01
3.90625000e-03,6.83593750e-01,2.32584561e-01,6.02124824e-01,1.45285332e-01,0.00000000e+00,2.01215239e-01,1.61183526e-01,1.66298226e-01,0.00000000e+00,0.00000000e+00,5.49041610e-01
3.90625000e-03,6.91406250e-01,2.32042732e-01,6.09025879e-01,1.42466495e-01,0.00000000e+00,2.00647176e-01,1.49390694e-01,1.59881623e-01,0.00000000e+00,0.00000000e+00,7.09208200e-01
3.90625000e-03,6.99218750e-01,2.30492224e-01,6.08090060e-01,1.39510256e-01,0.00000000e+00,1.98827806e-01,1.39151311e-01,1.57427490e-01,0.00000000e+00,0.00000000e+00,8.01188717e-01
3.90625000e-03,7.07031250e-01,2.28636910e-01,5.99404724e-01,1.34998314e-01,0.00000000e+00,1.96541084e-01,1.30014570e-01,1.58329169e-01,0.00000000e+00,0.00000000e+00,8.20482884e-01
3.90625000e-03,7.14843750e-01,2.27053740e-01,5.85585879e-01,1.27757025e-01,0.00000000e+00,1.94391481e-01,1.22130502e-01,1.61748543e-01,0.00000000e+00,0.00000000e+00,7.59080717e-01
3.90625000e-03,7.22656250e-01,2.25977778e-01,5.71552217e-01,1.17645030e-01,0.00000000e+00,1.92576782e-01,1.16592700e-01,1.66867512e-01,0.00000000e+00,0.00000000e+00,6.10138713e-01
3.90625000e-03,7.30468750e-01,2.25231829e-01,5.62353250e-01,1.05761282e-01,0.00000000e+00,1.90873575e-01,1.14895080e-01,1.72981063e-01,0.00000000e+00,0.00000000e+00,3.87371174e-01
3.90625000e-03,7.38281250e-01,2.24403235e-01,5.60312358e-01,9.38112271e-02,0.00000000e+00,1.88875710e-01,1.17882018e-01,1.79353207e-01,0.00000000e+00,0.00000000e+00,1.38883368e-01
3.90625000e-03,7.46093750e-01,2.23201272e-01,5.63904555e-01,8.31771123e-02,0.00000000e+00,1.86317975e-01,1.25201679e-01,1.85246464e-01,0.00000000e+00,0.00000000e+00,-7.22935688e-02
3.90625000e-03,7.53906250e-01,2.21711217e-01,5.69364541e-01,7.43489886e-02,0.00000000e+00,1.83274932e-01,1.35489513e-01,1.90127470e-01,0.00000000e+00,0.00000000e+00,-2.16947007e-01
3.90625000e-03,7.61718750e-01,2.20313141e-01,5.73265674e-01,6.70436677e-02,0.00000000e+00,1.80131800e-01,1.46869176e-01,1.93446123e-01,0.00000000e+00,0.00000000e+00,-3.13533787e-01
3.90625000e-03,7.69531250e-01,2.19460333e-01,5.74121665e-01,6.07743426e-02,0.00000000e+00,1.77431211e-01,1.57468836e-01,1.94459059e-01,0.00000000e+00,0.00000000e+00,-3.91689567e-01
3.90625000e-03,7.77343750e-01,2.19494755e-01,5.72466569e-01,5.52784982e-02,0.00000000e+00,1.75693155e-01,1.65759567e-01,1.92398181e-01,0.00000000e+00,0.00000000e+00,-4.64837138e-01
3.90625000e-03,7.85156250e-01,2.20553800e-01,5.69961191e-01,5.05374866e-02,0.00000000e+00,1.75251696e-01,1.70743702e-01,1.86653662e-01,0.00000000e+00,0.00000000e+00,-5.25803009e-01
3.90625000e-03,7.92968750e-01,2.22550930e-01,5.68144420e-01,4.64961249e-02,0.00000000e+00,1.76145269e-01,1.72040252e-01,1.76962593e-01,0.00000000e+00,0.00000000e+00,-5.59027075e-01
3.90625000e-03,8.00781250e-01,2.25226583e-01,5.67725925e-01,4.28125378e-02,0.00000000e+00,1.78117389e-01,1.69885734e-01,1.63465425e-01,0.00000000e+00,0.00000000e+00,-5.53447323e-01
3.90625000e-03,8.08593750e-01,2.28239022e-01,5.68624193e-01,3.89545453e-02,0.00000000e+00,1.80716085e-01,1.64989314e-01,1.46713232e-01,0.00000000e+00,0.00000000e+00,-5.03010909e-01
3.90625000e-03,8.16406250e-01,2.31226120e-01,5.70106614e-01,3.44320894e-02,0.00000000e+00,1.83424967e-01,1.58263039e-01,1.27600524e-01,0.00000000e+00,0.00000000e+00,-4.11259342e-01
3.90625000e-03,8.24218750e-01,2.33887652e-01,5.71282044e-01,2.89658838e-02,0.00000000e+00,1.85818991e-01,1.50574360e-01,1.07185736e-01,0.00000000e+00,0.00000000e+00,-2.92087715e-01
3.90625000e-03,8.32031250e-01,2.36026201e-01,5.71439025e-01,2.26174458e-02,0.00000000e+00,1.87619832e-01,1.42611646e-01,8.64421983e-02,0.00000000e+00,0.00000000e+00,-1.57273711e-01
3.90625000e-03,8.39843750e-01,2.37527197e-01,5.69951073e-01,1.57391879e-02,0.00000000e+00,1.88670445e-01,1.34800290e-01,6.61862165e-02,0.00000000e+00,0.00000000e+00,-3.36081723e-02
3.90625000e-03,8.47656250e-01,2.38361679e-01,5.66485944e-01,8.82681962e-03,0.00000000e+00,1.88915732e-01,1.27433853e-01,4.69397557e-02,0.00000000e+00,0.00000000e+00,6.73187111e-02
3.90625000e-03,8.55468750e-01,2.38579248e-01,5.61058229e-01,2.42847822e-03,0.00000000e+00,1.88379662e-01,1.20829503e-01,2.91097818e-02,0.00000000e+00,0.00000000e+00,1.48848848e-01
3.90625000e-03,8.63281250e-01,2.38266920e-01,5.53537756e-01,-2.95492763e-03,0.00000000e+00,1.87161665e-01,1.15094579e-01,1.30975902e-02,0.00000000e+00,0.00000000e+00,2.12124346e-01
3.90625000e-03,8.71093750e-01,2.37520430e-01,5.43753529e-01,-6.99466828e-03,0.00000000e+00,1.85378509e-01,1.10313805e-01,-8.63902752e-04,0.00000000e+00,0.00000000e+00,2.59744435e-01
3.90625000e-03,8.78906250e-01,2.36475462e-01,5.31651997e-01,-9.54312995e-03,0.00000000e+00,1.83200392e-01,1.06579774e-01,-1.26157643e-02,0.00000000e+00,0.00000000e+00,2.95158023e-01
3.90625000e-03,8.86718750e-01,2.35260453e-01,5.17086323e-01,-1.06484421e-02,0.00000000e+00,1.80798892e-01,1.03871764e-01,-2.19448475e-02,0.00000000e+00,0.00000000e+00,3.19077105e-01
3.90625000e-03,8.94531250e-01,2.34011723e-01,5.00078102e-01,-1.05661358e-02,0.00000000e+00,1.78346866e-01,1.02161168e-01,-2.89140710e-02,0.00000000e+00,0.00000000e+00,3.39621098e-01
3.90625000e-03,9.02343750e-01,2.32876770e-01,4.80915478e-01,-9.66999548e-03,0.00000000e+00,1.76036022e-01,1.01237451e-01,-3.34864243e-02,0.00000000e+00,0.00000000e+00,3.67265743e-01
3.90625000e-03,9.10156250e-01,2.32001265e-01,4.59637785e-01,-8.28802306e-03,0.00000000e+00,1.74052140e-01,1.00748004e-01,-3.56957479e-02,0.00000000e+00,0.00000000e+00,3.64978389e-01
3.90625000e-03,9.17968750e-01,2.31505084e-01,4.36836312e-01,-6.71978118e-03,0.00000000e+00,1.72503297e-01,1.01288543e-01,-3.57508877e-02,0.00000000e+00,0.00000000e+00,3.39892988e-01
3.90625000e-03,9.25781250e-01,2.31504753e-01,4.12912112e-01,-5.13768405e-03,0.00000000e+00,1.71518558e-01,1.02471765e-01,-3.38488279e-02,0.00000000e+00,0.00000000e+00,3.10148048e-01
3.90625000e-03,9.33593750e-01,2.32066579e-01,3.88311187e-01,-3.57577157e-03,0.00000000e+00,1.71169228e-01,1.03837523e-01,-3.02306708e-02,0.00000000e+00,0.00000000e+00,2.90110605e-01
3.90625000e-03,9.41406250e-01,2.33213211e-01,3.63424367e-01,-1.85513992e-03,0.00000000e+00,1.71480263e-01,1.05128658e-01,-2.51321630e-02,0.00000000e+00,0.00000000e+00,2.79723104e-01
3.90625000e-03,9.49218750e-01,2.34913675e-01,3.38808677e-01,4.62836570e-04,0.00000000e+00,1.72435956e-01,1.06280271e-01,-1.86788015e-02,0.00000000e+00,0.00000000e+00,2.85160829e-01
3.90625000e-03,9.57031250e-01,2.37049496e-01,3.14424994e-01,3.92712586e-03,0.00000000e+00,1.74037365e-01,1.06458952e-01,-1.08663960e-02,0.00000000e+00,0.00000000e+00,3.14756766e-01
3.90625000e-03,9.64843750e-01,2.39399101e-01,2.86430304e-01,8.50057952e-03,0.00000000e+00,1.76430177e-01,1.01420757e-01,-1.87595044e-03,0.00000000e+00,0.00000000e+00,3.40316388e-01
3.90625000e-03,9.72656250e-01,2.41656377e-01,2.46959092e-01,1.27660002e-02,0.00000000e+00,1.79609154e-01,8.45375214e-02,7.08601371e-03,0.00000000e+00,0.00000000e+00,3.91144034e-01
3.90625000e-03,9.80468750e-01,2.43492821e-01,1.88366461e-01,1.49270118e-02,0.00000000e+00,1.82930740e-01,5.27417848e-02,1.45384775e-02,0.00000000e+00,0.00000000e+00,5.46285044e-01
