i,j,x,y,Bx,By,Bz,psi,divB
71,0,0.558594,0.00390625,0.999843,-1.63853e-05,0,9.49681e-05,-0.00265833
72,0,0.566406,0.00390625,0.999855,-1.80694e-05,0,0.000105657,-0.00296153
73,0,0.574219,0.00390625,0.999869,-1.95895e-05,0,0.000115665,-0.00324715
74,0,0.582031,0.00390625,0.999883,-2.09388e-05,0,0.000124947,-0.003514
75,0,0.589844,0.00390625,0.999898,-2.21131e-05,0,0.000133462,-0.00376108
76,0,0.597656,0.00390625,0.999913,-2.31112e-05,0,0.000141179,-0.00398764
77,0,0.605469,0.00390625,0.999928,-2.39343e-05,0,0.000148077,-0.0041931
78,0,0.613281,0.00390625,0.999943,-2.45859e-05,0,0.00015414,-0.0043771
79,0,0.621094,0.00390625,0.999958,-2.50715e-05,0,0.000159362,-0.00453945
80,0,0.628906,0.00390625,0.999973,-2.53981e-05,0,0.000163741,-0.0046801
81,0,0.636719,0.00390625,0.999987,-2.55742e-05,0,0.000167285,-0.00479918
82,0,0.644531,0.00390625,1,-2.5609e-05,0,0.000170004,-0.00489693
83,0,0.652344,0.00390625,1.00001,-2.55126e-05,0,0.000171917,-0.00497368
84,0,0.660156,0.00390625,1.00002,-2.52955e-05,0,0.000173044,-0.00502991
85,0,0.667969,0.00390625,1.00004,-2.49685e-05,0,0.000173413,-0.00506614
86,0,0.675781,0.00390625,1.00005,-2.45423e-05,0,0.000173052,-0.00508298
87,0,0.683594,0.00390625,1.00005,-2.40274e-05,0,0.000171996,-0.00508111
88,0,0.691406,0.00390625,1.00006,-2.34343e-05,0,0.00017028,-0.00506127
89,0,0.699219,0.00390625,1.00007,-2.27729e-05,0,0.000167943,-0.00502423
90,0,0.707031,0.00390625,1.00008,-2.20529e-05,0,0.000165027,-0.00497083
91,0,0.714844,0.00390625,1.00008,-2.12834e-05,0,0.000161573,-0.00490194
92,0,0.722656,0.00390625,1.00008,-2.0473e-05,0,0.000157627,-0.00481847
93,0,0.730469,0.00390625,1.00009,-1.96299e-05,0,0.000153233,-0.00472138
94,0,0.738281,0.00390625,1.00009,-1.87616e-05,0,0.00014844,-0.00461164
95,0,0.746094,0.00390625,1.00009,-1.78755e-05,0,0.000143295,-0.00449027
96,0,0.753906,0.00390625,1.00009,-1.6978e-05,0,0.000137844,-0.00435832
97,0,0.761719,0.00390625,1.00009,-1.60754e-05,0,0.000132138,-0.00421685
98,0,0.769531,0.00390625,1.00009,-1.51734e-05,0,0.000126222,-0.00406696
99,0,0.777344,0.00390625,1.00009,-1.42771e-05,0,0.000120145,-0.00390976
100,0,0.785156,0.00390625,1.00008,-1.33914e-05,0,0.000113953,-0.00374637
101,0,0.792969,0.00390625,1.00008,-1.25206e-05,0,0.00010769,-0.00357792
102,0,0.800781,0.00390625,1.00008,-1.16686e-05,0,0.000101401,-0.00340554
103,0,0.808594,0.00390625,1.00008,-1.0839e-05,0,9.5127e-05,-0.00323035
104,0,0.816406,0.00390625,1.00007,-1.00348e-05,0,8.89067e-05,-0.00305345
105,0,0.824219,0.00390625,1.00007,-9.25873e-06,0,8.27769e-05,-0.00287591
106,0,0.832031,0.00390625,1.00006,-8.51305e-06,0,7.67713e-05,-0.00269877
107,0,0.839844,0.00390625,1.00006,-7.79965e-06,0,7.09205e-05,-0.00252301
108,0,0.847656,0.00390625,1.00006,-7.12001e-06,0,6.52513e-05,-0.00234956
109,0,0.855469,0.00390625,1.00005,-6.47523e-06,0,5.97874e-05,-0.0021793
110,0,0.863281,0.00390625,1.00005,-5.86605e-06,0,5.45484e-05,-0.00201298
111,0,0.871094,0.00390625,1.00004,-5.29281e-06,0,4.955e-05,-0.00185131
112,0,0.878906,0.00390625,1.00004,-4.75552e-06,0,4.48042e-05,-0.00169489
113,0,0.886719,0.00390625,1.00004,-4.25381e-06,0,4.03188e-05,-0.00154419
114,0,0.894531,0.00390625,1.00003,-3.787e-06,0,3.60978e-05,-0.0013996
115,0,0.902344,0.00390625,1.00003,-3.3541e-06,0,3.21414e-05,-0.00126139
116,0,0.910156,0.00390625,1.00003,-2.9538e-06,0,2.8446e-05,-0.0011297
117,0,0.917969,0.00390625,1.00002,-2.58453e-06,0,2.50046e-05,-0.00100455
118,0,0.925781,0.00390625,1.00002,-2.24444e-06,0,2.18068e-05,-0.000885854
119,0,0.933594,0.00390625,1.00002,-1.93146e-06,0,1.8839e-05,-0.000773406
120,0,0.941406,0.00390625,1.00002,-1.64331e-06,0,1.60848e-05,-0.000666884
121,0,0.949219,0.00390625,1.00002,-1.37751e-06,0,1.35253e-05,-0.000565864
122,0,0.957031,0.00390625,1.00001,-1.1314e-06,0,1.11392e-05,-0.000469825
123,0,0.964844,0.00390625,1.00001,-9.02209e-07,0,8.90314e-06,-0.000378156
124,0,0.972656,0.00390625,1.00001,-6.87015e-07,0,6.79225e-06,-0.000290173
125,0,0.980469,0.00390625,1.00001,-4.82811e-07,0,4.78013e-06,-0.000205125
126,0,0.988281,0.00390625,1.00001,-2.8651e-07,0,2.83933e-06,-0.000122211
127,0,0.996094,0.00390625,1.00001,-9.49729e-08,0,9.41638e-07,-4.05922e-05
0,1,0.00390625,0.0117188,1.00001,2.8651e-07,0,-9.65081e-07,4.13803e-05
1,1,0.0117188,0.0117188,1.00001,8.64309e-07,0,-2.90974e-06,0.000124573
2,1,0.0195312,0.0117188,1.00001,1.45641e-06,0,-4.89773e-06,0.000209055
3,1,0.0273438,0.0117188,1.00001,2.07225e-06,0,-6.9574e-06,0.000295661
4,1,0.0351562,0.0117188,1.00001,2.72108e-06,0,-9.11633e-06,0.000385187
5,1,0.0429688,0.0117188,1.00001,3.41195e-06,0,-1.1401e-05,0.000478378
6,1,0.0507812,0.0117188,1.00002,4.15359e-06,0,-1.38363e-05,0.000575915
7,1,0.0585938,0.0117188,1.00002,4.95438e-06,0,-1.64457e-05,0.000678402
8,1,0.0664062,0.0117188,1.00002,5.82225e-06,0,-1.92503e-05,0.000786355
9,1,0.0742188,0.0117188,1.00002,6.76465e-06,0,-2.22692e-05,0.00090019
10,1,0.0820312,0.0117188,1.00003,7.78842e-06,0,-2.55184e-05,0.00102022
11,1,0.0898438,0.0117188,1.00003,8.8998e-06,0,-2.90114e-05,0.00114665
12,1,0.0976562,0.0117188,1.00003,1.01043e-05,0,-3.27585e-05,0.00127956
13,1,0.105469,0.0117188,1.00003,1.14066e-05,0,-3.67664e-05,0.00141892
14,1,0.113281,0.0117188,1.00004,1.28107e-05,0,-4.10384e-05,0.00156459
15,1,0.121094,0.0117188,1.00004,1.43195e-05,0,-4.55741e-05,0.00171628
16,1,0.128906,0.0117188,1.00005,1.5935e-05,0,-5.03691e-05,0.00187361
17,1,0.136719,0.0117188,1.00005,1.76584e-05,0,-5.54153e-05,0.0020361
18,1,0.144531,0.0117188,1.00005,1.94897e-05,0,-6.07004e-05,0.00220314
19,1,0.152344,0.0117188,1.00006,2.14277e-05,0,-6.62085e-05,0.00237405
20,1,0.160156,0.0117188,1.00006,2.34704e-05,0,-7.19194e-05,0.00254804
21,1,0.167969,0.0117188,1.00007,2.56144e-05,0,-7.78095e-05,0.00272425
22,1,0.175781,0.0117188,1.00007,2.78552e-05,0,-8.38515e-05,0.00290175
23,1,0.183594,0.0117188,1.00007,3.01873e-05,0,-9.00147e-05,0.00307957
24,1,0.191406,0.0117188,1.00008,3.26037e-05,0,-9.62654e-05,0.00325667
25,1,0.199219,0.0117188,1.00008,3.50965e-05,0,-0.000102567,0.00343198
26,1,0.207031,0.0117188,1.00008,3.76564e-05,0,-0.000108879,0.00360441
27,1,0.214844,0.0117188,1.00009,4.02729e-05,0,-0.000115162,0.00377284
28,1,0.222656,0.0117188,1.00009,4.29343e-05,0,-0.000121371,0.00393615
29,1,0.230469,0.0117188,1.00009,4.56275e-05,0,-0.000127461,0.00409323
30,1,0.238281,0.0117188,1.00009,4.83382e-05,0,-0.000133387,0.00424295
31,1,0.246094,0.0117188,1.00009,5.10507e-05,0,-0.000139101,0.0043842
32,1,0.253906,0.0117188,1.00009,5.37479e-05,0,-0.000144555,0.00451592
33,1,0.261719,0.0117188,1.00009,5.64114e-05,0,-0.000149701,0.00463702
34,1,0.269531,0.0117188,1.00009,5.90212e-05,0,-0.000154492,0.00474646
35,1,0.277344,0.0117188,1.00009,6.15559e-05,0,-0.00015888,0.00484325
36,1,0.285156,0.0117188,1.00008,6.39926e-05,0,-0.000162819,0.0049264
37,1,0.292969,0.0117188,1.00008,6.63068e-05,0,-0.000166263,0.00499496
38,1,0.300781,0.0117188,1.00007,6.84725e-05,0,-0.000169167,0.00504801
39,1,0.308594,0.0117188,1.00006,7.04623e-05,0,-0.000171489,0.0050847
40,1,0.316406,0.0117188,1.00006,7.22473e-05,0,-0.000173188,0.00510418
41,1,0.324219,0.0117188,1.00005,7.37975e-05,0,-0.000174226,0.00510567
42,1,0.332031,0.0117188,1.00004,7.50816e-05,0,-0.000174565,0.00508844
