i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
48,0,0.378906,0.00390625,1,2.36459e-13,0,0,2.89738e-11,2.26358e-13,1.07434e-11,8.39329e-14,3.49146e-11,1
49,0,0.386719,0.00390625,1,2.83973e-13,0,0,3.3887e-11,2.64742e-13,1.21645e-11,9.50351e-14,4.1043e-11,1
50,0,0.394531,0.00390625,1,3.36897e-13,0,0,3.91441e-11,3.05813e-13,1.35287e-11,1.05693e-13,4.76394e-11,1
51,0,0.402344,0.00390625,1,3.94835e-13,0,0,4.46448e-11,3.48788e-13,1.48361e-11,1.15907e-13,5.45983e-11,1
52,0,0.410156,0.00390625,1,4.57123e-13,0,0,5.02547e-11,3.92615e-13,1.59446e-11,1.24567e-13,6.17831e-11,1
53,0,0.417969,0.00390625,1,5.22817e-13,0,0,5.58468e-11,4.36303e-13,1.68257e-11,1.3145e-13,6.90281e-11,1
54,0,0.425781,0.00390625,1,5.90696e-13,0,0,6.12314e-11,4.78371e-13,1.73941e-11,1.35891e-13,7.61444e-11,1
55,0,0.433594,0.00390625,1,6.5929e-13,0,0,6.62854e-11,5.17855e-13,1.75362e-11,1.37002e-13,8.29264e-11,1
56,0,0.441406,0.00390625,1,7.26923e-13,0,0,7.08275e-11,5.5334e-13,1.73372e-11,1.35447e-13,8.91616e-11,1
57,0,0.449219,0.00390625,1,7.91769e-13,0,0,7.46658e-11,5.83327e-13,1.65983e-11,1.29674e-13,9.46411e-11,1
58,0,0.457031,0.00390625,1,8.51936e-13,0,0,7.76885e-11,6.06941e-13,1.54046e-11,1.20348e-13,9.91707e-11,1
59,0,0.464844,0.00390625,1,9.05554e-13,0,0,7.97569e-11,6.23101e-13,1.37277e-11,1.07248e-13,1.02582e-10,1
60,0,0.472656,0.00390625,1,9.50868e-13,0,0,8.07838e-11,6.31123e-13,1.15961e-11,9.05942e-14,1.04744e-10,1
61,0,0.480469,0.00390625,1,9.86335e-13,0,0,8.074e-11,6.30781e-13,9.06653e-12,7.08322e-14,1.05569e-10,1
62,0,0.488281,0.00390625,1,1.01071e-12,0,0,7.95903e-11,6.21799e-13,6.25278e-12,4.88498e-14,1.05019e-10,1
63,0,0.496094,0.00390625,1,1.02313e-12,0,0,7.73837e-11,6.0456e-13,3.15481e-12,2.4647e-14,1.03112e-10,1
64,0,0.503906,0.00390625,1,1.02313e-12,0,0,7.42288e-11,5.79913e-13,0,0,9.99146e-11,1
65,0,0.511719,0.00390625,1,1.01071e-12,0,0,7.01827e-11,5.48302e-13,-3.15481e-12,2.4647e-14,9.55439e-11,1
66,0,0.519531,0.00390625,1,9.86335e-13,0,0,6.54207e-11,5.11099e-13,-6.25278e-12,4.88498e-14,9.01572e-11,1
67,0,0.527344,0.00390625,1,9.50868e-13,0,0,6.01212e-11,4.69697e-13,-9.06653e-12,7.08322e-14,8.39438e-11,1
68,0,0.535156,0.00390625,1,9.05554e-13,0,0,5.44332e-11,4.25259e-13,-1.15961e-11,9.05942e-14,7.71136e-11,1
69,0,0.542969,0.00390625,1,8.51936e-13,0,0,4.85562e-11,3.79346e-13,-1.37277e-11,1.07248e-13,6.98854e-11,1
70,0,0.550781,0.00390625,1,7.91769e-13,0,0,4.2663e-11,3.33304e-13,-1.54046e-11,1.20348e-13,6.24755e-11,1
71,0,0.558594,0.00390625,1,7.26923e-13,0,0,3.6892e-11,2.88219e-13,-1.65983e-11,1.29674e-13,5.50871e-11,1
72,0,0.566406,0.00390625,1,6.5929e-13,0,0,3.1412e-11,2.45406e-13,-1.73372e-11,1.35447e-13,4.79016e-11,1
73,0,0.574219,0.00390625,1,5.90696e-13,0,0,2.63012e-11,2.05478e-13,-1.75362e-11,1.37002e-13,4.10718e-11,1
74,0,0.582031,0.00390625,1,5.22817e-13,0,0,2.16271e-11,1.68962e-13,-1.73941e-11,1.35891e-13,3.47183e-11,1
75,0,0.589844,0.00390625,1,4.57123e-13,0,0,1.74844e-11,1.36597e-13,-1.68257e-11,1.3145e-13,2.89273e-11,1
76,0,0.597656,0.00390625,1,3.94835e-13,0,0,1.38641e-11,1.08313e-13,-1.59446e-11,1.24567e-13,2.37518e-11,1
77,0,0.605469,0.00390625,1,3.36897e-13,0,0,1.07792e-11,8.42127e-14,-1.48361e-11,1.15907e-13,1.92137e-11,1
78,0,0.613281,0.00390625,1,2.83973e-13,0,0,8.19375e-12,6.40136e-14,-1.35287e-11,1.05693e-13,1.53079e-11,1
79,0,0.621094,0.00390625,1,2.36459e-13,0,0,6.06594e-12,4.73902e-14,-1.21645e-11,9.50351e-14,1.20077e-11,1
80,0,0.628906,0.00390625,1,1.94506e-13,0,0,4.37861e-12,3.42079e-14,-1.07434e-11,8.39329e-14,9.26941e-12,1
81,0,0.636719,0.00390625,1,1.58055e-13,0,0,3.05631e-12,2.38774e-14,-9.32232e-12,7.28306e-14,7.03838e-12,1
82,0,0.644531,0.00390625,1,1.26877e-13,0,0,2.03942e-12,1.5933e-14,-7.9865e-12,6.23945e-14,5.25348e-12,1
83,0,0.652344,0.00390625,1,1.00613e-13,0,0,1.3014e-12,1.01672e-14,-6.73595e-12,5.26246e-14,3.85159e-12,1
84,0,0.660156,0.00390625,1,7.8818e-14,0,0,7.66569e-13,5.98882e-15,-5.57066e-12,4.35207e-14,2.77094e-12,1
85,0,0.667969,0.00390625,1,6.09951e-14,0,0,3.98149e-13,3.11054e-15,-4.5759e-12,3.57492e-14,1.95375e-12,1
86,0,0.675781,0.00390625,1,4.66297e-14,0,0,1.5801e-13,1.23446e-15,-3.6664e-12,2.86438e-14,1.34789e-12,1
87,0,0.683594,0.00390625,1,3.52152e-14,0,0,8.6042e-15,6.72203e-17,-2.92744e-12,2.28706e-14,9.07891e-13,1
88,0,0.691406,0.00390625,1,2.62721e-14,0,0,-8.55774e-14,6.68574e-16,-2.27374e-12,1.77636e-14,5.95228e-13,1
89,0,0.699219,0.00390625,1,1.93624e-14,0,0,-1.2858e-13,1.00453e-15,-1.79057e-12,1.39888e-14,3.78172e-13,1
90,0,0.707031,0.00390625,1,1.40968e-14,0,0,-1.35028e-13,1.0549e-15,-1.33582e-12,1.04361e-14,2.31276e-13,1
91,0,0.714844,0.00390625,1,1.01387e-14,0,0,-1.29868e-13,1.0146e-15,-1.02318e-12,7.99361e-15,1.34655e-13,1
92,0,0.722656,0.00390625,1,7.20347e-15,0,0,-1.05763e-13,8.26275e-16,-7.38964e-13,5.77316e-15,7.31602e-14,1
93,0,0.730469,0.00390625,1,5.05591e-15,0,0,-9.43512e-14,7.37119e-16,-5.40012e-13,4.21885e-15,3.55494e-14,1
94,0,0.738281,0.00390625,1,3.50555e-15,0,0,-8.13243e-14,6.35346e-16,-3.97904e-13,3.10862e-15,1.36936e-14,1
95,0,0.746094,0.00390625,1,2.40111e-15,0,0,-6.36797e-14,4.97498e-16,-2.84217e-13,2.22045e-15,1.87586e-15,1
96,0,0.753906,0.00390625,1,1.62467e-15,0,0,-5.01539e-14,3.91827e-16,-1.98952e-13,1.55431e-15,-3.80782e-15,1
97,0,0.761719,0.00390625,1,1.08597e-15,0,0,-4.74352e-14,3.70587e-16,-1.42109e-13,1.11022e-15,-5.93889e-15,1
98,0,0.769531,0.00390625,1,7.17081e-16,0,0,-3.21346e-14,2.51051e-16,-1.13687e-13,8.88178e-16,-6.16242e-15,1
99,0,0.777344,0.00390625,1,4.67754e-16,0,0,-7.97534e-15,6.23073e-17,-5.68434e-14,4.44089e-16,-5.48149e-15,1
100,0,0.785156,0.00390625,1,3.01416e-16,0,0,-6.08898e-15,4.75702e-17,-2.84217e-14,2.22045e-16,-4.47414e-15,1
