i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
42,0,0.332031,0.00390625,0.999243,0.00203507,0,0,0.000122056,9.54283e-07,1.70328e-07,1.33169e-09,1.015e-11,0.999245
43,0,0.339844,0.00390625,0.999158,0.00207638,0,0,0.000150725,1.17852e-06,1.04427e-07,8.16523e-10,1.28695e-11,0.999161
44,0,0.347656,0.00390625,0.999075,0.00211671,0,0,0.000179832,1.40623e-06,4.00277e-08,3.13005e-10,1.61138e-11,0.999077
45,0,0.355469,0.00390625,0.998993,0.0021559,0,0,0.000209211,1.6361e-06,-2.27154e-08,1.77642e-10,1.99236e-11,0.998996
46,0,0.363281,0.00390625,0.998914,0.0021938,0,0,0.000238681,1.86672e-06,-8.3651e-08,6.54233e-10,2.43256e-11,0.998916
47,0,0.371094,0.00390625,0.998836,0.00223025,0,0,0.000268049,2.09657e-06,-1.42633e-07,1.11561e-09,2.93278e-11,0.998839
48,0,0.378906,0.00390625,0.998761,0.0022651,0,0,0.000297112,2.32406e-06,-1.99519e-07,1.56067e-09,3.49146e-11,0.998764
49,0,0.386719,0.00390625,0.998689,0.0022982,0,0,0.000325658,2.54753e-06,-2.54172e-07,1.98832e-09,4.1043e-11,0.998692
50,0,0.394531,0.00390625,0.99862,0.0023294,0,0,0.000353468,2.76528e-06,-3.06461e-07,2.39753e-09,4.76394e-11,0.998623
51,0,0.402344,0.00390625,0.998555,0.00235857,0,0,0.000380322,2.97556e-06,-3.56261e-07,2.78731e-09,5.45983e-11,0.998558
52,0,0.410156,0.00390625,0.998494,0.00238556,0,0,0.000405998,3.17664e-06,-4.03451e-07,3.15671e-09,6.17831e-11,0.998496
53,0,0.417969,0.00390625,0.998436,0.00241025,0,0,0.000430277,3.36679e-06,-4.47919e-07,3.50484e-09,6.90281e-11,0.998439
54,0,0.425781,0.00390625,0.998383,0.00243252,0,0,0.000452944,3.54435e-06,-4.89558e-07,3.83085e-09,7.61444e-11,0.998386
55,0,0.433594,0.00390625,0.998334,0.00245227,0,0,0.000473795,3.70769e-06,-5.28267e-07,4.13396e-09,8.29264e-11,0.998337
56,0,0.441406,0.00390625,0.99829,0.0024694,0,0,0.000492635,3.85529e-06,-5.63954e-07,4.41342e-09,8.91616e-11,0.998294
57,0,0.449219,0.00390625,0.998252,0.00248382,0,0,0.000509288,3.98577e-06,-5.96533e-07,4.66856e-09,9.46411e-11,0.998255
58,0,0.457031,0.00390625,0.998218,0.00249546,0,0,0.000523591,4.09785e-06,-6.25926e-07,4.89877e-09,9.91707e-11,0.998221
59,0,0.464844,0.00390625,0.99819,0.00250426,0,0,0.000535406,4.19043e-06,-6.52063e-07,5.10347e-09,1.02582e-10,0.998193
60,0,0.472656,0.00390625,0.998167,0.00251018,0,0,0.000544615,4.2626e-06,-6.74882e-07,5.28218e-09,1.04744e-10,0.99817
61,0,0.480469,0.00390625,0.99815,0.00251318,0,0,0.000551125,4.31363e-06,-6.94326e-07,5.43446e-09,1.05569e-10,0.998153
62,0,0.488281,0.00390625,0.998138,0.00251326,0,0,0.000554871,4.34301e-06,-7.10351e-07,5.55995e-09,1.05019e-10,0.998141
63,0,0.496094,0.00390625,0.998132,0.0025104,0,0,0.000555816,4.35042e-06,-7.22918e-07,5.65835e-09,1.03112e-10,0.998136
64,0,0.503906,0.00390625,0.998132,0.00250462,0,0,0.000553948,4.3358e-06,-7.31998e-07,5.72941e-09,9.99146e-11,0.998135
65,0,0.511719,0.00390625,0.998138,0.00249596,0,0,0.000549287,4.29929e-06,-7.37567e-07,5.77298e-09,9.55439e-11,0.998141
66,0,0.519531,0.00390625,0.99815,0.00248445,0,0,0.00054188,4.24127e-06,-7.39615e-07,5.78894e-09,9.01572e-11,0.998153
67,0,0.527344,0.00390625,0.998167,0.00247016,0,0,0.000531801,4.16231e-06,-7.38136e-07,5.77726e-09,8.39438e-11,0.99817
68,0,0.535156,0.00390625,0.99819,0.00245315,0,0,0.000519151,4.06321e-06,-7.33135e-07,5.73799e-09,7.71136e-11,0.998193
69,0,0.542969,0.00390625,0.998218,0.00243351,0,0,0.000504055,3.94495e-06,-7.24623e-07,5.67121e-09,6.98854e-11,0.998221
70,0,0.550781,0.00390625,0.998252,0.00241134,0,0,0.000486659,3.80867e-06,-7.12622e-07,5.5771e-09,6.24755e-11,0.998255
71,0,0.558594,0.00390625,0.99829,0.00238674,0,0,0.00046713,3.65569e-06,-6.97162e-07,5.45589e-09,5.50871e-11,0.998293
72,0,0.566406,0.00390625,0.998334,0.00235983,0,0,0.000445652,3.48745e-06,-6.78279e-07,5.30788e-09,4.79016e-11,0.998337
73,0,0.574219,0.00390625,0.998383,0.00233074,0,0,0.000422422,3.30551e-06,-6.5602e-07,5.13345e-09,4.10718e-11,0.998386
74,0,0.582031,0.00390625,0.998436,0.0022996,0,0,0.000397649,3.11149e-06,-6.30439e-07,4.93301e-09,3.47183e-11,0.998439
75,0,0.589844,0.00390625,0.998494,0.00226655,0,0,0.000371548,2.90709e-06,-6.01598e-07,4.70707e-09,2.89273e-11,0.998496
76,0,0.597656,0.00390625,0.998555,0.00223173,0,0,0.000344341,2.69405e-06,-5.69568e-07,4.45617e-09,2.37518e-11,0.998558
77,0,0.605469,0.00390625,0.99862,0.00219531,0,0,0.00031625,2.47411e-06,-5.34424e-07,4.18095e-09,1.92137e-11,0.998623
78,0,0.613281,0.00390625,0.998689,0.00215742,0,0,0.000287494,2.24899e-06,-4.96253e-07,3.88206e-09,1.53079e-11,0.998691
79,0,0.621094,0.00390625,0.998761,0.00211824,0,0,0.000258291,2.0204e-06,-4.55148e-07,3.56024e-09,1.20077e-11,0.998763
80,0,0.628906,0.00390625,0.998836,0.0020779,0,0,0.00022885,1.78997e-06,-4.11207e-07,3.21629e-09,9.26941e-12,0.998838
81,0,0.636719,0.00390625,0.998913,0.00203658,0,0,0.000199372,1.55929e-06,-3.64536e-07,2.85103e-09,7.03838e-12,0.998916
82,0,0.644531,0.00390625,0.998993,0.00199442,0,0,0.000170046,1.32982e-06,-3.15249e-07,2.46536e-09,5.25348e-12,0.998995
83,0,0.652344,0.00390625,0.999075,0.00195158,0,0,0.000141047,1.10295e-06,-2.63465e-07,2.06022e-09,3.85159e-12,0.999077
84,0,0.660156,0.00390625,0.999158,0.00190821,0,0,0.00011254,8.79961e-07,-2.09309e-07,1.6366e-09,2.77094e-12,0.99916
85,0,0.667969,0.00390625,0.999243,0.00186444,0,0,8.46719e-05,6.61999e-07,-1.52912e-07,1.19552e-09,1.95375e-12,0.999245
86,0,0.675781,0.00390625,0.999329,0.00182044,0,0,5.75735e-05,4.50094e-07,-9.4409e-08,7.38064e-10,1.34789e-12,0.999331
