i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
43,0,0.339844,0.00390625,0.999959,0.000583502,0,0,0.00394544,3.0825e-05,0.00373035,2.91445e-05,1.28695e-11,0.999959
44,0,0.347656,0.00390625,0.999945,0.000604524,0,0,0.0038867,3.03665e-05,0.00365413,2.85494e-05,1.61138e-11,0.999945
45,0,0.355469,0.00390625,0.999931,0.000625139,0,0,0.00381596,2.98142e-05,0.00356553,2.78576e-05,1.99236e-11,0.999931
46,0,0.363281,0.00390625,0.999917,0.000645245,0,0,0.00373316,2.91677e-05,0.00346462,2.70696e-05,2.43256e-11,0.999917
47,0,0.371094,0.00390625,0.999902,0.000664739,0,0,0.00363828,2.84269e-05,0.00335151,2.61862e-05,2.93278e-11,0.999902
48,0,0.378906,0.00390625,0.999888,0.000683517,0,0,0.00353138,2.7592e-05,0.00322641,2.52091e-05,3.49146e-11,0.999888
49,0,0.386719,0.00390625,0.999873,0.000701477,0,0,0.00341257,2.6664e-05,0.00308958,2.41404e-05,4.1043e-11,0.999874
50,0,0.394531,0.00390625,0.999859,0.000718518,0,0,0.003282,2.56442e-05,0.00294134,2.29824e-05,4.76394e-11,0.99986
51,0,0.402344,0.00390625,0.999846,0.000734541,0,0,0.00313991,2.45344e-05,0.0027821,2.17385e-05,5.45983e-11,0.999846
52,0,0.410156,0.00390625,0.999833,0.000749452,0,0,0.00298661,2.33368e-05,0.00261232,2.04122e-05,6.17831e-11,0.999833
53,0,0.417969,0.00390625,0.99982,0.00076316,0,0,0.00282243,2.20542e-05,0.00243253,1.90075e-05,6.90281e-11,0.999821
54,0,0.425781,0.00390625,0.999809,0.000775583,0,0,0.00264783,2.06901e-05,0.00224332,1.75293e-05,7.61444e-11,0.999809
55,0,0.433594,0.00390625,0.999798,0.000786641,0,0,0.00246327,1.92482e-05,0.00204533,1.59824e-05,8.29264e-11,0.999798
56,0,0.441406,0.00390625,0.999788,0.000796266,0,0,0.00226932,1.77329e-05,0.00183928,1.43724e-05,8.91616e-11,0.999788
57,0,0.449219,0.00390625,0.999779,0.000804393,0,0,0.0020666,1.61489e-05,0.00162592,1.27053e-05,9.46411e-11,0.999779
58,0,0.457031,0.00390625,0.999771,0.000810972,0,0,0.00185579,1.45016e-05,0.00140606,1.09873e-05,9.91707e-11,0.999771
59,0,0.464844,0.00390625,0.999764,0.000815959,0,0,0.00163761,1.27969e-05,0.00118053,9.22509e-06,1.02582e-10,0.999765
60,0,0.472656,0.00390625,0.999759,0.000819319,0,0,0.00141287,1.10407e-05,0.00095024,7.42554e-06,1.04744e-10,0.999759
61,0,0.480469,0.00390625,0.999755,0.000821032,0,0,0.00118241,9.23987e-06,0.000716089,5.59581e-06,1.05569e-10,0.999755
62,0,0.488281,0.00390625,0.999752,0.000821085,0,0,0.000947127,7.40126e-06,0.000479022,3.74329e-06,1.05019e-10,0.999752
63,0,0.496094,0.00390625,0.999751,0.000819478,0,0,0.000707946,5.53221e-06,0.000240002,1.87548e-06,1.03112e-10,0.999751
64,0,0.503906,0.00390625,0.999751,0.00081622,0,0,0.000465842,3.6403e-06,1.80411e-15,1.40981e-17,9.99146e-11,0.999751
65,0,0.511719,0.00390625,0.999752,0.000811334,0,0,0.000221815,1.73336e-06,-0.000240002,1.87548e-06,9.55439e-11,0.999752
66,0,0.519531,0.00390625,0.999755,0.000804851,0,0,-2.31135e-05,1.80618e-07,-0.000479022,3.74328e-06,9.01572e-11,0.999755
67,0,0.527344,0.00390625,0.999759,0.000796814,0,0,-0.000267904,2.0935e-06,-0.000716089,5.59579e-06,8.39438e-11,0.999759
68,0,0.535156,0.00390625,0.999764,0.000787274,0,0,-0.000511509,3.99711e-06,-0.00095024,7.4255e-06,7.71136e-11,0.999765
69,0,0.542969,0.00390625,0.999771,0.000776293,0,0,-0.000752884,5.88325e-06,-0.00118053,9.22503e-06,6.98854e-11,0.999771
70,0,0.550781,0.00390625,0.999779,0.000763939,0,0,-0.000990991,7.74382e-06,-0.00140606,1.09872e-05,6.24755e-11,0.999779
71,0,0.558594,0.00390625,0.999788,0.00075029,0,0,-0.00122481,9.57083e-06,-0.00162592,1.27052e-05,5.50871e-11,0.999788
72,0,0.566406,0.00390625,0.999798,0.000735431,0,0,-0.00145334,1.13565e-05,-0.00183928,1.43723e-05,4.79016e-11,0.999798
73,0,0.574219,0.00390625,0.999809,0.00071945,0,0,-0.00167561,1.30932e-05,-0.00204533,1.59822e-05,4.10718e-11,0.999809
74,0,0.582031,0.00390625,0.99982,0.000702442,0,0,-0.00189071,1.47738e-05,-0.00224332,1.7529e-05,3.47183e-11,0.999821
75,0,0.589844,0.00390625,0.999833,0.000684505,0,0,-0.00209776,1.63915e-05,-0.00243253,1.90073e-05,2.89273e-11,0.999833
76,0,0.597656,0.00390625,0.999846,0.00066574,0,0,-0.00229593,1.79397e-05,-0.00261232,2.04119e-05,2.37518e-11,0.999846
77,0,0.605469,0.00390625,0.999859,0.000646251,0,0,-0.00248447,1.94126e-05,-0.0027821,2.17382e-05,1.92137e-11,0.99986
78,0,0.613281,0.00390625,0.999873,0.00062614,0,0,-0.00266266,2.08047e-05,-0.00294134,2.29821e-05,1.53079e-11,0.999874
79,0,0.621094,0.00390625,0.999888,0.000605512,0,0,-0.0028299,2.21111e-05,-0.00308958,2.414e-05,1.20077e-11,0.999888
80,0,0.628906,0.00390625,0.999902,0.000584469,0,0,-0.00298562,2.33275e-05,-0.00322641,2.52088e-05,9.26941e-12,0.999902
81,0,0.636719,0.00390625,0.999917,0.000563113,0,0,-0.00312936,2.44501e-05,-0.00335151,2.61859e-05,7.03838e-12,0.999917
82,0,0.644531,0.00390625,0.999931,0.00054154,0,0,-0.00326071,2.5476e-05,-0.00346462,2.70692e-05,5.25348e-12,0.999931
83,0,0.652344,0.00390625,0.999945,0.000519846,0,0,-0.00337936,2.64027e-05,-0.00356553,2.78572e-05,3.85159e-12,0.999945
84,0,0.660156,0.00390625,0.999959,0.000498122,0,0,-0.00348507,2.72282e-05,-0.00365413,2.8549e-05,2.77094e-12,0.999959
85,0,0.667969,0.00390625,0.999973,0.000476455,0,0,-0.0035777,2.79515e-05,-0.00373035,2.91441e-05,1.95375e-12,0.999973
86,0,0.675781,0.00390625,0.999986,0.000454925,0,0,-0.00365716,2.8572e-05,-0.0037942,2.96426e-05,1.34789e-12,0.999986
87,0,0.683594,0.00390625,0.999999,0.00043361,0,0,-0.00372346,2.90896e-05,-0.00384574,3.00448e-05,9.07891e-13,0.999999
88,0,0.691406,0.00390625,1.00001,0.000412579,0,0,-0.00377668,2.9505e-05,-0.00388509,3.03519e-05,5.95228e-13,1.00001
89,0,0.699219,0.00390625,1.00002,0.000391898,0,0,-0.00381696,2.98193e-05,-0.00391245,3.05653e-05,3.78172e-13,1.00002
90,0,0.707031,0.00390625,1.00003,0.000371626,0,0,-0.00384451,3.00343e-05,-0.00392805,3.06868e-05,2.31276e-13,1.00003
91,0,0.714844,0.00390625,1.00004,0.000351815,0,0,-0.00385962,3.0152e-05,-0.00393217,3.07187e-05,1.34655e-13,1.00004
92,0,0.722656,0.00390625,1.00005,0.000332512,0,0,-0.00386261,3.0175e-05,-0.00392514,3.06635e-05,7.31602e-14,1.00005
93,0,0.730469,0.00390625,1.00006,0.000313759,0,0,-0.00385387,3.01065e-05,-0.00390735,3.05242e-05,3.55494e-14,1.00006
94,0,0.738281,0.00390625,1.00007,0.000295591,0,0,-0.00383383,2.99497e-05,-0.00387919,3.0304e-05,1.36936e-14,1.00007
95,0,0.746094,0.00390625,1.00008,0.000278038,0,0,-0.00380296,2.97083e-05,-0.00384112,3.00064e-05,1.87586e-15,1.00008
96,0,0.753906,0.00390625,1.00008,0.000261124,0,0,-0.00376177,2.93864e-05,-0.00379359,2.96349e-05,-3.80782e-15,1.00008
97,0,0.761719,0.00390625,1.00009,0.000244869,0,0,-0.00371078,2.89879e-05,-0.00373711,2.91935e-05,-5.93889e-15,1.00009
98,0,0.769531,0.00390625,1.00009,0.000229287,0,0,-0.00365056,2.85173e-05,-0.00367218,2.86862e-05,-6.16242e-15,1.00009
99,0,0.777344,0.00390625,1.0001,0.000214388,0,0,-0.00358168,2.79791e-05,-0.00359932,2.81169e-05,-5.48149e-15,1.0001
100,0,0.785156,0.00390625,1.0001,0.000200178,0,0,-0.00350472,2.73778e-05,-0.00351907,2.74899e-05,-4.47414e-15,1.0001
101,0,0.792969,0.00390625,1.00011,0.00018666,0,0,-0.00342027,2.6718e-05,-0.00343195,2.68093e-05,-3.4477e-15,1.00011
102,0,0.800781,0.00390625,1.00011,0.000173833,0,0,-0.00332891,2.60043e-05,-0.00333851,2.60793e-05,-2.54514e-15,1.00011
103,0,0.808594,0.00390625,1.00011,0.000161691,0,0,-0.00323124,2.52413e-05,-0.00323927,2.5304e-05,-1.81532e-15,1.00011
104,0,0.816406,0.00390625,1.00011,0.000150227,0,0,-0.00312781,2.44333e-05,-0.00313475,2.44875e-05,-1.25777e-15,1.00011
105,0,0.824219,0.00390625,1.00011,0.000139433,0,0,-0.0030192,2.35849e-05,-0.00302545,2.36337e-05,-8.49646e-16,1.00011
106,0,0.832031,0.00390625,1.00011,0.000129297,0,0,-0.00290595,2.27002e-05,-0.00291187,2.27465e-05,-5.61024e-16,1.00011
107,0,0.839844,0.00390625,1.00011,0.000119806,0,0,-0.00278857,2.17833e-05,-0.00279448,2.18295e-05,-3.62784e-16,1.00011
108,0,0.847656,0.00390625,1.00011,0.000110945,0,0,-0.00266756,2.0838e-05,-0.00267373,2.08862e-05,-2.30069e-16,1.00011
109,0,0.855469,0.00390625,1.00011,0.000102699,0,0,-0.00254339,1.98681e-05,-0.00255004,1.992e-05,-1.43247e-16,1.00011
110,0,0.863281,0.00390625,1.00011,9.50518e-05,0,0,-0.0024165,1.88769e-05,-0.00242381,1.8934e-05,-8.7641e-17,1.00011
111,0,0.871094,0.00390625,1.00011,8.79863e-05,0,0,-0.0022873,1.78676e-05,-0.00229541,1.7931e-05,-5.27264e-17,1.00011
112,0,0.878906,0.00390625,1.00011,8.1486e-05,0,0,-0.00215616,1.68432e-05,-0.00216519,1.69138e-05,-3.12099e-17,1.00011
113,0,0.886719,0.00390625,1.0001,7.5534e-05,0,0,-0.00202343,1.58064e-05,-0.00203346,1.58848e-05,-1.81847e-17,1.0001
114,0,0.894531,0.00390625,1.0001,7.01138e-05,0,0,-0.00188942,1.47596e-05,-0.0019005,1.48461e-05,-1.04336e-17,1.0001
115,0,0.902344,0.00390625,1.0001,6.52092e-05,0,0,-0.0017544,1.37049e-05,-0.00176655,1.37998e-05,-5.89696e-18,1.0001
116,0,0.910156,0.00390625,1.0001,6.08051e-05,0,0,-0.00161863,1.26443e-05,-0.00163185,1.27476e-05,-3.28401e-18,1.0001
117,0,0.917969,0.00390625,1.0001,5.68869e-05,0,0,-0.00148229,1.15793e-05,-0.00149658,1.16909e-05,-1.80247e-18,1.0001
118,0,0.925781,0.00390625,1.00009,5.34411e-05,0,0,-0.00134559,1.05114e-05,-0.0013609,1.0631e-05,-9.75242e-19,1.00009
119,0,0.933594,0.00390625,1.00009,5.04555e-05,0,0,-0.00120866,9.44178e-06,-0.00122495,9.56903e-06,-5.20254e-19,1.00009
120,0,0.941406,0.00390625,1.00009,4.79188e-05,0,0,-0.00107163,8.37132e-06,-0.00108884,8.50575e-06,-2.73682e-19,1.00009
121,0,0.949219,0.00390625,1.00009,4.58216e-05,0,0,-0.000934585,7.30079e-06,-0.000952642,7.44184e-06,-1.41992e-19,1.00009
122,0,0.957031,0.00390625,1.00009,4.41556e-05,0,0,-0.000797604,6.23072e-06,-0.000816429,6.37778e-06,-7.26655e-20,1.00009
123,0,0.964844,0.00390625,1.00009,4.2914e-05,0,0,-0.00066073,5.1615e-06,-0.000680238,5.31389e-06,-3.66844e-20,1.00009
