i,j,x,y,Bx,By,Bz,psi,divB,normDivB,Bmag
56,0,0.441406,0.00390625,0.999851,0.000900016,0,-0.000109741,0.00300365,2.34695e-05,0.999851
57,0,0.449219,0.00390625,0.999838,0.000918489,0,-9.8634e-05,0.00268902,2.10114e-05,0.999839
58,0,0.457031,0.00390625,0.999827,0.0009344,0,-8.69424e-05,0.00235933,1.84355e-05,0.999827
59,0,0.464844,0.00390625,0.999817,0.000947556,0,-7.47361e-05,0.00201636,1.57557e-05,0.999818
60,0,0.472656,0.00390625,0.999809,0.00095779,0,-6.20921e-05,0.00166209,1.29875e-05,0.999809
61,0,0.480469,0.00390625,0.999802,0.000964968,0,-4.90932e-05,0.00129866,1.01478e-05,0.999803
62,0,0.488281,0.00390625,0.999797,0.000968995,0,-3.58277e-05,0.000928366,7.25433e-06,0.999798
63,0,0.496094,0.00390625,0.999794,0.000969812,0,-2.23875e-05,0.000553596,4.32586e-06,0.999795
64,0,0.503906,0.00390625,0.999793,0.000967403,0,-8.86729e-06,0.000176818,1.38168e-06,0.999793
65,0,0.511719,0.00390625,0.999794,0.000961793,0,4.63725e-06,-0.000199469,1.55867e-06,0.999794
66,0,0.519531,0.00390625,0.999796,0.000953051,0,1.80307e-05,-0.000572776,4.47572e-06,0.999797
67,0,0.527344,0.00390625,0.999801,0.000941281,0,3.12195e-05,-0.000940663,7.35039e-06,0.999801
68,0,0.535156,0.00390625,0.999807,0.000926626,0,4.41133e-05,-0.00130078,1.01643e-05,0.999807
69,0,0.542969,0.00390625,0.999814,0.000909263,0,5.66262e-05,-0.0016509,1.29e-05,0.999815
70,0,0.550781,0.00390625,0.999824,0.000889394,0,6.86779e-05,-0.00198894,1.55413e-05,0.999824
71,0,0.558594,0.00390625,0.999834,0.000867245,0,8.01949e-05,-0.00231301,1.80734e-05,0.999835
72,0,0.566406,0.00390625,0.999846,0.000843059,0,9.1111e-05,-0.00262143,2.04831e-05,0.999846
73,0,0.574219,0.00390625,0.999859,0.00081709,0,0.000101368,-0.0029127,2.27587e-05,0.999859
74,0,0.582031,0.00390625,0.999872,0.000789598,0,0.000110916,-0.00318557,2.48904e-05,0.999873
75,0,0.589844,0.00390625,0.999887,0.000760844,0,0.000119714,-0.00343899,2.68701e-05,0.999887
76,0,0.597656,0.00390625,0.999901,0.000731084,0,0.000127729,-0.00367214,2.86914e-05,0.999902
77,0,0.605469,0.00390625,0.999916,0.000700567,0,0.000134936,-0.00388441,3.03495e-05,0.999916
78,0,0.613281,0.00390625,0.999931,0.00066953,0,0.00014132,-0.00407537,3.18411e-05,0.999931
79,0,0.621094,0.00390625,0.999946,0.000638195,0,0.00014687,-0.00424481,3.31644e-05,0.999946
80,0,0.628906,0.00390625,0.99996,0.00060677,0,0.000151586,-0.00439264,3.43189e-05,0.99996
81,0,0.636719,0.00390625,0.999974,0.000575442,0,0.000155471,-0.00451896,3.53053e-05,0.999974
82,0,0.644531,0.00390625,0.999987,0.000544384,0,0.000158538,-0.00462398,3.61253e-05,0.999988
83,0,0.652344,0.00390625,1,0.000513747,0,0.000160801,-0.00470803,3.67815e-05,1
84,0,0.660156,0.00390625,1.00001,0.000483668,0,0.000162282,-0.00477155,3.72773e-05,1.00001
85,0,0.667969,0.00390625,1.00002,0.000454262,0,0.000163007,-0.00481506,3.76168e-05,1.00002
86,0,0.675781,0.00390625,1.00003,0.000425631,0,0.000163004,-0.00483918,3.78049e-05,1.00003
87,0,0.683594,0.00390625,1.00004,0.000397859,0,0.000162306,-0.00484458,3.78466e-05,1.00004
88,0,0.691406,0.00390625,1.00005,0.000371018,0,0.00016095,-0.00483198,3.77479e-05,1.00005
89,0,0.699219,0.00390625,1.00006,0.000345164,0,0.000158972,-0.00480217,3.75147e-05,1.00006
90,0,0.707031,0.00390625,1.00006,0.000320341,0,0.000156414,-0.00475598,3.71537e-05,1.00006
91,0,0.714844,0.00390625,1.00007,0.000296585,0,0.000153318,-0.00469429,3.66716e-05,1.00007
92,0,0.722656,0.00390625,1.00007,0.000273919,0,0.000149729,-0.00461802,3.60756e-05,1.00007
93,0,0.730469,0.00390625,1.00008,0.000252358,0,0.000145691,-0.00452811,3.53732e-05,1.00008
94,0,0.738281,0.00390625,1.00008,0.000231908,0,0.00014125,-0.00442556,3.45719e-05,1.00008
95,0,0.746094,0.00390625,1.00008,0.000212569,0,0.000136454,-0.00431136,3.36798e-05,1.00008
96,0,0.753906,0.00390625,1.00008,0.000194334,0,0.00013135,-0.00418658,3.2705e-05,1.00008
97,0,0.761719,0.00390625,1.00008,0.000177191,0,0.000125986,-0.00405227,3.16558e-05,1.00008
98,0,0.769531,0.00390625,1.00008,0.00016112,0,0.000120409,-0.00390953,3.05408e-05,1.00008
99,0,0.777344,0.00390625,1.00008,0.0001461,0,0.000114664,-0.00375946,2.93685e-05,1.00008
100,0,0.785156,0.00390625,1.00008,0.000132104,0,0.000108798,-0.00360318,2.81476e-05,1.00008
101,0,0.792969,0.00390625,1.00008,0.000119102,0,0.000102856,-0.0034418,2.6887e-05,1.00008
102,0,0.800781,0.00390625,1.00007,0.000107061,0,9.68794e-05,-0.00327644,2.55953e-05,1.00007
103,0,0.808594,0.00390625,1.00007,9.59451e-05,0,9.09095e-05,-0.00310821,2.42812e-05,1.00007
104,0,0.816406,0.00390625,1.00007,8.57163e-05,0,8.49846e-05,-0.0029382,2.29531e-05,1.00007
105,0,0.824219,0.00390625,1.00006,7.63352e-05,0,7.91408e-05,-0.00276744,2.16193e-05,1.00006
106,0,0.832031,0.00390625,1.00006,6.77607e-05,0,7.34109e-05,-0.00259698,2.02877e-05,1.00006
107,0,0.839844,0.00390625,1.00006,5.99508e-05,0,6.78249e-05,-0.00242777,1.89659e-05,1.00006
108,0,0.847656,0.00390625,1.00005,5.2863e-05,0,6.24093e-05,-0.00226072,1.7661e-05,1.00005
109,0,0.855469,0.00390625,1.00005,4.64545e-05,0,5.71869e-05,-0.00209667,1.63795e-05,1.00005
110,0,0.863281,0.00390625,1.00005,4.06825e-05,0,5.2177e-05,-0.00193639,1.51273e-05,1.00005
111,0,0.871094,0.00390625,1.00004,3.55049e-05,0,4.73951e-05,-0.00178053,1.39098e-05,1.00004
112,0,0.878906,0.00390625,1.00004,3.088e-05,0,4.28527e-05,-0.00162968,1.27314e-05,1.00004
113,0,0.886719,0.00390625,1.00003,2.67677e-05,0,3.85574e-05,-0.00148431,1.15957e-05,1.00003
114,0,0.894531,0.00390625,1.00003,2.31287e-05,0,3.45132e-05,-0.00134477,1.05057e-05,1.00003
115,0,0.902344,0.00390625,1.00003,1.99257e-05,0,3.07202e-05,-0.00121131,9.46306e-06,1.00003
116,0,0.910156,0.00390625,1.00003,1.71233e-05,0,2.71747e-05,-0.00108406,8.46899e-06,1.00003
117,0,0.917969,0.00390625,1.00002,1.4688e-05,0,2.38698e-05,-0.000963032,7.52351e-06,1.00002
118,0,0.925781,0.00390625,1.00002,1.25891e-05,0,2.07952e-05,-0.000848122,6.62582e-06,1.00002
119,0,0.933594,0.00390625,1.00002,1.07979e-05,0,1.79375e-05,-0.000739109,5.77418e-06,1.00002
120,0,0.941406,0.00390625,1.00002,9.28883e-06,0,1.52804e-05,-0.000635664,4.96604e-06,1.00002
121,0,0.949219,0.00390625,1.00002,8.03907e-06,0,1.28053e-05,-0.000537353,4.19801e-06,1.00002
122,0,0.957031,0.00390625,1.00001,7.02877e-06,0,1.0491e-05,-0.000443647,3.46595e-06,1.00001
123,0,0.964844,0.00390625,1.00001,6.24125e-06,0,8.31442e-06,-0.000353932,2.76506e-06,1.00001
124,0,0.972656,0.00390625,1.00001,5.663e-06,0,6.25087e-06,-0.000267517,2.08995e-06,1.00001
125,0,0.980469,0.00390625,1.00001,5.2838e-06,0,4.2741e-06,-0.000183648,1.43473e-06,1.00001
126,0,0.988281,0.00390625,1.00001,5.09674e-06,0,2.35679e-06,-0.000101521,7.93123e-07,1.00001
127,0,0.996094,0.00390625,1.00001,5.09827e-06,0,4.70819e-07,-2.02961e-05,1.58562e-07,1.00001
0,1,0.00390625,0.0117188,1.00001,5.60614e-06,0,-2.38475e-06,0.000102486,8.00661e-07,1.00001
1,1,0.0117188,0.0117188,1.00001,6.37692e-06,0,-4.36461e-06,0.00018686,1.45982e-06,1.00001
