step,time,L1,L2,Linf
138,0.00431223,0.18743,0.381893,1.06512
139,0.00434348,0.187347,0.381641,1.06419
140,0.00437473,0.187265,0.38139,1.06326
141,0.00440597,0.187183,0.38114,1.06234
142,0.00443722,0.187101,0.38089,1.06141
143,0.00446847,0.187019,0.38064,1.06049
144,0.00449972,0.186938,0.38039,1.05957
145,0.00453097,0.186856,0.380141,1.05865
146,0.00456221,0.186775,0.379893,1.05773
147,0.00459346,0.186693,0.379645,1.05681
148,0.00462471,0.186612,0.379397,1.05589
149,0.00465596,0.186531,0.379149,1.05498
150,0.00468721,0.18645,0.378902,1.05406
151,0.00471846,0.186369,0.378655,1.05315
152,0.0047497,0.186288,0.378409,1.05224
153,0.00478095,0.186207,0.378163,1.05132
154,0.0048122,0.186126,0.377917,1.05041
155,0.00484345,0.186046,0.377672,1.04951
156,0.0048747,0.185965,0.377427,1.0486
157,0.00490594,0.185885,0.377183,1.04769
158,0.00493719,0.185805,0.376938,1.04679
159,0.00496844,0.185725,0.376695,1.04588
160,0.00499969,0.185645,0.376451,1.04498
161,0.00503094,0.185565,0.376208,1.04408
162,0.00506218,0.185485,0.375966,1.04318
163,0.00509343,0.185405,0.375723,1.04228
164,0.00512468,0.185326,0.375481,1.04138
165,0.00515593,0.185246,0.37524,1.04048
166,0.00518718,0.185167,0.374999,1.03959
167,0.00521842,0.185087,0.374758,1.03869
168,0.00524967,0.185008,0.374517,1.0378
169,0.00528092,0.184929,0.374277,1.03691
170,0.00531217,0.18485,0.374037,1.03602
171,0.00534342,0.184771,0.373798,1.03513
172,0.00537466,0.184692,0.373559,1.03424
173,0.00540591,0.184614,0.37332,1.03335
174,0.00543716,0.184535,0.373082,1.03246
175,0.00546841,0.184457,0.372844,1.03158
176,0.00549966,0.184378,0.372606,1.03069
177,0.0055309,0.1843,0.372369,1.02981
178,0.00556215,0.184222,0.372132,1.02893
179,0.0055934,0.184144,0.371895,1.02805
180,0.00562465,0.184066,0.371659,1.02717
181,0.0056559,0.183988,0.371423,1.02629
182,0.00568714,0.18391,0.371188,1.02541
183,0.00571839,0.183832,0.370952,1.02453
184,0.00574964,0.183755,0.370718,1.02366
185,0.00578089,0.183677,0.370483,1.02278
186,0.00581214,0.1836,0.370249,1.02191
187,0.00584338,0.183522,0.370015,1.02104
188,0.00587463,0.183445,0.369782,1.02017
189,0.00590588,0.183368,0.369549,1.0193
190,0.00593713,0.183291,0.369316,1.01843
191,0.00596838,0.183214,0.369083,1.01756
192,0.00599963,0.183137,0.368851,1.0167
193,0.00603087,0.18306,0.36862,1.01583
194,0.00606212,0.182984,0.368388,1.01497
195,0.00609337,0.182907,0.368157,1.01411
196,0.00612462,0.182831,0.367926,1.01324
197,0.00615587,0.182754,0.367696,1.01238
198,0.00618711,0.182678,0.367466,1.01152
199,0.00621836,0.182602,0.367236,1.01067
200,0.00624961,0.182526,0.367007,1.00981
201,0.00628086,0.18245,0.366778,1.00895
202,0.00631211,0.182374,0.366549,1.0081
203,0.00634335,0.182298,0.366321,1.00724
