step,time,L1,L2,Linf
151,0.151,0.188496,0.278271,0.555808
152,0.152,0.18862,0.278202,0.555314
153,0.153,0.188715,0.27813,0.555155
154,0.154,0.188772,0.278053,0.554872
155,0.155,0.188888,0.277974,0.554385
156,0.156,0.188928,0.277892,0.554314
157,0.157,0.189019,0.277807,0.553849
158,0.158,0.189082,0.27772,0.553641
159,0.159,0.18911,0.27763,0.553387
160,0.16,0.189197,0.277539,0.552853
161,0.161,0.189209,0.277445,0.552811
162,0.162,0.189274,0.27735,0.552376
163,0.163,0.189311,0.277254,0.552122
164,0.164,0.189315,0.277155,0.551898
165,0.165,0.189379,0.277056,0.551321
166,0.166,0.189369,0.276955,0.551307
167,0.167,0.189412,0.276854,0.550903
168,0.168,0.18943,0.276751,0.550605
169,0.169,0.189414,0.276647,0.55041
170,0.17,0.189459,0.276543,0.549829
171,0.171,0.189433,0.276438,0.549807
172,0.172,0.189459,0.276332,0.549432
173,0.173,0.189461,0.276226,0.549092
174,0.174,0.18943,0.276119,0.548926
175,0.175,0.189461,0.276012,0.548376
176,0.176,0.18942,0.275905,0.548311
177,0.177,0.189434,0.275797,0.547967
178,0.178,0.189423,0.275688,0.547585
179,0.179,0.18938,0.27558,0.547448
180,0.18,0.1894,0.275471,0.546928
181,0.181,0.189349,0.275362,0.546821
182,0.182,0.189352,0.275253,0.546506
183,0.183,0.189332,0.275143,0.546084
184,0.184,0.18928,0.275034,0.545976
185,0.185,0.189291,0.274924,0.545486
186,0.186,0.189232,0.274815,0.545336
187,0.187,0.189227,0.274705,0.545051
188,0.188,0.1892,0.274595,0.544588
189,0.189,0.189141,0.274485,0.544509
190,0.19,0.189145,0.274376,0.544049
191,0.191,0.189081,0.274266,0.543858
192,0.192,0.18907,0.274156,0.543602
193,0.193,0.189037,0.274046,0.543099
194,0.194,0.188973,0.273936,0.543048
195,0.195,0.188972,0.273827,0.542618
196,0.196,0.188903,0.273717,0.542386
197,0.197,0.188887,0.273607,0.542159
198,0.198,0.18885,0.273498,0.541616
199,0.199,0.188783,0.273388,0.541592
200,0.2,0.188778,0.273279,0.541192
201,0.201,0.188706,0.273169,0.540919
202,0.202,0.188687,0.27306,0.540721
203,0.203,0.188647,0.272951,0.54015
204,0.204,0.188576,0.272842,0.540143
205,0.205,0.188569,0.272732,0.539772
206,0.206,0.188494,0.272623,0.539459
207,0.207,0.188473,0.272514,0.539288
208,0.208,0.188431,0.272406,0.538747
209,0.209,0.188358,0.272297,0.538699
210,0.21,0.188349,0.272188,0.538357
211,0.211,0.188272,0.27208,0.538004
212,0.212,0.188249,0.271971,0.537862
213,0.213,0.188205,0.271863,0.53735
214,0.214,0.188132,0.271754,0.537262
215,0.215,0.188121,0.271646,0.536947
216,0.216,0.188043,0.271538,0.536556
217,0.217,0.188018,0.27143,0.536441
218,0.218,0.187974,0.271322,0.535958
219,0.219,0.187899,0.271214,0.535829
220,0.22,0.187887,0.271107,0.535543
221,0.221,0.187809,0.270999,0.535113
222,0.222,0.187783,0.270891,0.535025
223,0.223,0.187738,0.270784,0.534571
224,0.224,0.187662,0.270677,0.534403
225,0.225,0.18765,0.270569,0.534145
226,0.226,0.187571,0.270462,0.533676
227,0.227,0.187545,0.270355,0.533615
228,0.228,0.187499,0.270248,0.533189
229,0.229,0.187423,0.270141,0.532982
230,0.23,0.18741,0.270035,0.532752
231,0.231,0.187331,0.269928,0.532245
232,0.232,0.187304,0.269821,0.532211
233,0.233,0.187258,0.269715,0.531813
234,0.234,0.187182,0.269608,0.531567
235,0.235,0.187168,0.269502,0.531364
236,0.236,0.187089,0.269396,0.530819
237,0.237,0.187062,0.26929,0.530812
238,0.238,0.187016,0.269184,0.530442
239,0.239,0.18694,0.269078,0.530157
240,0.24,0.186926,0.268972,0.529981
241,0.241,0.186847,0.268867,0.529447
242,0.242,0.18682,0.268761,0.529419
243,0.243,0.186773,0.268655,0.529076
244,0.244,0.186697,0.26855,0.528753
245,0.245,0.186683,0.268445,0.528604
246,0.246,0.186604,0.26834,0.528098
247,0.247,0.186577,0.268234,0.528031
248,0.248,0.18653,0.268129,0.527715
249,0.249,0.186454,0.268025,0.527355
250,0.25,0.18644,0.26792,0.527232
251,0.251,0.186361,0.267815,0.526754
252,0.252,0.186334,0.26771,0.526648
253,0.253,0.186287,0.267606,0.52636
254,0.254,0.186211,0.267501,0.525962
255,0.255,0.186197,0.267397,0.525866
256,0.256,0.186118,0.267293,0.525415
257,0.257,0.18609,0.267189,0.525271
258,0.258,0.186043,0.267085,0.525009
259,0.259,0.185967,0.266981,0.524575
260,0.26,0.185953,0.266877,0.524504
261,0.261,0.185874,0.266773,0.524081
262,0.262,0.185846,0.266669,0.523899
263,0.263,0.185799,0.266566,0.523664
264,0.264,0.185722,0.266462,0.523193
265,0.265,0.185708,0.266359,0.523148
266,0.266,0.185629,0.266255,0.522752
267,0.267,0.1856,0.266152,0.522533
268,0.268,0.185553,0.266049,0.522324
269,0.269,0.185476,0.265946,0.521817
270,0.27,0.185461,0.265843,0.521797
271,0.271,0.185382,0.26574,0.521427
272,0.272,0.185352,0.265637,0.521172
273,0.273,0.185305,0.265535,0.520989
274,0.274,0.185228,0.265432,0.52046
275,0.275,0.185211,0.26533,0.520452
276,0.276,0.185132,0.265227,0.520108
277,0.277,0.185102,0.265125,0.519816
278,0.278,0.185053,0.265023,0.519659
279,0.279,0.184975,0.264921,0.519157
280,0.28,0.184958,0.264819,0.519111
281,0.281,0.184877,0.264717,0.518794
282,0.282,0.184846,0.264615,0.518465
283,0.283,0.184796,0.264513,0.518334
284,0.284,0.184717,0.264411,0.517858
285,0.285,0.184699,0.26431,0.517776
286,0.286,0.184616,0.264208,0.517484
287,0.287,0.184583,0.264106,0.51712
288,0.288,0.184532,0.264005,0.517014
289,0.289,0.184451,0.263904,0.516565
290,0.29,0.18443,0.263802,0.516446
291,0.291,0.184346,0.263701,0.51618
292,0.292,0.184311,0.2636,0.51578
293,0.293,0.184257,0.263499,0.515699
294,0.294,0.184173,0.263398,0.515276
295,0.295,0.184149,0.263297,0.51512
296,0.296,0.184062,0.263196,0.51488
297,0.297,0.184023,0.263095,0.514445
298,0.298,0.183966,0.262995,0.514388
299,0.299,0.183879,0.262894,0.513992
300,0.3,0.183851,0.262793,0.5138
301,0.301,0.18376,0.262692,0.513585
302,0.302,0.183717,0.262592,0.513116
303,0.303,0.183655,0.262491,0.513083
304,0.304,0.183562,0.26239,0.512712
305,0.305,0.183529,0.262289,0.512485
306,0.306,0.183433,0.262188,0.512295
307,0.307,0.183383,0.262088,0.511791
308,0.308,0.183315,0.261987,0.511783
309,0.309,0.183216,0.261885,0.511437
310,0.31,0.183176,0.261784,0.511175
311,0.311,0.183072,0.261683,0.51101
312,0.312,0.183014,0.261582,0.510511
313,0.313,0.182937,0.26148,0.510488
314,0.314,0.18283,0.261378,0.510167
315,0.315,0.18278,0.261276,0.509871
316,0.316,0.182666,0.261173,0.509729
317,0.317,0.182598,0.261071,0.509256
318,0.318,0.182511,0.260967,0.509197
319,0.319,0.182391,0.260864,0.508902
320,0.32,0.18233,0.26076,0.508571
321,0.321,0.182203,0.260655,0.508454
322,0.322,0.182122,0.26055,0.508006
323,0.323,0.18202,0.260444,0.507912
324,0.324,0.181886,0.260337,0.507641
325,0.325,0.181808,0.26023,0.507276
326,0.326,0.181666,0.260122,0.507183
327,0.327,0.181567,0.260012,0.50676
328,0.328,0.181448,0.259902,0.506631
329,0.329,0.181295,0.25979,0.506385
330,0.33,0.181198,0.259677,0.505986
331,0.331,0.181035,0.259562,0.505916
332,0.332,0.180914,0.259446,0.505519
333,0.333,0.180772,0.259328,0.505355
334,0.334,0.180596,0.259208,0.505133
335,0.335,0.180474,0.259086,0.504701
336,0.336,0.180286,0.258962,0.504655
337,0.337,0.180138,0.258835,0.504282
338,0.338,0.179969,0.258705,0.504084
339,0.339,0.179763,0.258572,0.503886
340,0.34,0.179611,0.258436,0.50342
341,0.341,0.179391,0.258297,0.503398
342,0.342,0.179211,0.258154,0.503049
343,0.343,0.179007,0.258007,0.502818
344,0.344,0.178766,0.257855,0.502643
345,0.345,0.178577,0.257699,0.502146
346,0.346,0.178319,0.257538,0.502146
347,0.347,0.178099,0.257371,0.501821
348,0.348,0.177853,0.257198,0.501556
349,0.349,0.17757,0.257019,0.501405
350,0.35,0.177336,0.256834,0.500933
351,0.351,0.177032,0.256641,0.500898
352,0.352,0.176764,0.256441,0.500597
353,0.353,0.17647,0.256232,0.5003
354,0.354,0.176136,0.256015,0.500172
355,0.355,0.175849,0.255788,0.499724
356,0.356,0.175491,0.255552,0.499655
357,0.357,0.175167,0.255305,0.499378
358,0.358,0.174815,0.255046,0.499048
359,0.359,0.174421,0.254777,0.498943
360,0.36,0.174072,0.254494,0.498519
361,0.361,0.173651,0.254199,0.498417
362,0.362,0.173262,0.25389,0.498163
363,0.363,0.172842,0.253566,0.4978
364,0.364,0.172379,0.253226,0.497718
365,0.365,0.171959,0.252871,0.497318
366,0.366,0.171465,0.252498,0.497183
367,0.367,0.171,0.252108,0.496953
368,0.368,0.170504,0.251699,0.496558
369,0.369,0.169962,0.251271,0.496498
370,0.37,0.169461,0.250822,0.496122
371,0.371,0.168884,0.250352,0.495954
372,0.372,0.168335,0.249859,0.495747
373,0.373,0.167751,0.249344,0.49532
374,0.374,0.167122,0.248805,0.495283
375,0.375,0.16653,0.248241,0.494931
376,0.376,0.16586,0.247651,0.49473
377,0.377,0.165217,0.247034,0.494546
378,0.378,0.164537,0.24639,0.494088
379,0.379,0.16381,0.245718,0.494074
380,0.38,0.163118,0.245017,0.493745
381,0.381,0.162347,0.244286,0.493513
382,0.382,0.161602,0.243524,0.493351
383,0.383,0.160817,0.242731,0.492879
384,0.384,0.159986,0.241906,0.492871
385,0.385,0.159185,0.241048,0.492565
386,0.386,0.158304,0.240157,0.492303
387,0.387,0.157451,0.239232,0.492165
388,0.388,0.156553,0.238273,0.491717
389,0.389,0.155614,0.23728,0.491678
390,0.39,0.154698,0.236252,0.491396
391,0.391,0.153701,0.235189,0.491106
392,0.392,0.152739,0.234091,0.490991
393,0.393,0.151723,0.232959,0.490568
394,0.394,0.150676,0.231792,0.490502
395,0.395,0.149641,0.230591,0.490245
396,0.396,0.148525,0.229356,0.489931
397,0.397,0.147457,0.228088,0.489841
398,0.398,0.146322,0.226788,0.489444
399,0.399,0.145174,0.225457,0.489358
400,0.4,0.14402,0.224097,0.489127
401,0.401,0.142795,0.222708,0.488799
402,0.402,0.141625,0.221292,0.488736
403,0.403,0.140373,0.219851,0.488368
404,0.404,0.139141,0.218388,0.488275
405,0.405,0.137874,0.216904,0.488075
406,0.406,0.136577,0.215403,0.487749
407,0.407,0.135298,0.213887,0.487719
408,0.408,0.133943,0.21236,0.487385
409,0.409,0.132654,0.210826,0.487309
410,0.41,0.131285,0.209287,0.487147
411,0.411,0.129956,0.20775,0.486854
412,0.412,0.128582,0.206217,0.486867
413,0.413,0.12722,0.204694,0.486579
414,0.414,0.125845,0.203186,0.486561
415,0.415,0.124463,0.201699,0.48645
416,0.416,0.123092,0.20024,0.486245
417,0.417,0.121706,0.198813,0.486318
418,0.418,0.120346,0.197425,0.486094
419,0.419,0.118974,0.196085,0.486206
420,0.42,0.117632,0.194798,0.486171
421,0.421,0.116295,0.193572,0.486143
422,0.422,0.114977,0.192415,0.486306
423,0.423,0.113698,0.191336,0.486176
424,0.424,0.112414,0.19034,0.486535
425,0.425,0.111217,0.189438,0.486613
426,0.426,0.110018,0.188636,0.486904
427,0.427,0.108888,0.187944,0.487202
428,0.428,0.10782,0.187368,0.487467
429,0.429,0.106789,0.186917,0.487999
430,0.43,0.105842,0.186597,0.488287
431,0.431,0.104995,0.186417,0.48907
432,0.432,0.104228,0.186382,0.48957
433,0.433,0.103559,0.186499,0.490492
434,0.434,0.103007,0.186773,0.491265
435,0.435,0.10259,0.187209,0.492353
436,0.436,0.102325,0.18781,0.493421
437,0.437,0.102227,0.18858,0.494753
438,0.438,0.102312,0.189522,0.496139
439,0.439,0.102595,0.190635,0.4978
440,0.44,0.103135,0.191921,0.499533
441,0.441,0.10393,0.19338,0.501618
442,0.442,0.105018,0.195009,0.503726
443,0.443,0.106445,0.196807,0.506334
444,0.444,0.108241,0.198771,0.508879
445,0.445,0.110152,0.200895,0.512086
446,0.446,0.112061,0.203176,0.515341
447,0.447,0.113965,0.205608,0.519013
448,0.448,0.115863,0.208185,0.523086
449,0.449,0.117753,0.210899,0.527312
450,0.45,0.119635,0.213745,0.532246
451,0.451,0.121507,0.216713,0.537466
452,0.452,0.123368,0.219797,0.542957
453,0.453,0.125216,0.222986,0.549243
454,0.454,0.127051,0.226274,0.555864
455,0.455,0.128869,0.229651,0.562832
456,0.456,0.130672,0.233107,0.570523
457,0.457,0.132456,0.236635,0.578682
458,0.458,0.134221,0.240224,0.587194
459,0.459,0.135965,0.243865,0.596292
460,0.46,0.137687,0.24755,0.605942
461,0.461,0.139385,0.251269,0.615854
462,0.462,0.141059,0.255013,0.626288
463,0.463,0.142706,0.258774,0.637136
464,0.464,0.144326,0.262541,0.648046
465,0.465,0.145918,0.266308,0.659639
466,0.466,0.147479,0.270064,0.67109
467,0.467,0.149009,0.273803,0.683045
468,0.468,0.150507,0.277515,0.694756
469,0.469,0.151971,0.281193,0.706958
