step,time,L1,L2,Linf
149,0.149,0.0796526,0.124352,0.28072
150,0.15,0.0794314,0.123665,0.278439
151,0.151,0.0792128,0.122985,0.276286
152,0.152,0.0789968,0.122314,0.274088
153,0.153,0.0787833,0.12165,0.271852
154,0.154,0.0785722,0.120993,0.269764
155,0.155,0.0783634,0.120344,0.267634
156,0.156,0.0781568,0.119703,0.265465
157,0.157,0.0779525,0.119068,0.263416
158,0.158,0.0777503,0.118441,0.261352
159,0.159,0.0775502,0.117821,0.259251
160,0.16,0.0773522,0.117208,0.257238
161,0.161,0.0771561,0.116602,0.255238
162,0.162,0.0769619,0.116002,0.253203
163,0.163,0.0767696,0.115409,0.251223
164,0.164,0.0765791,0.114823,0.249286
165,0.165,0.0763904,0.114244,0.247316
166,0.166,0.0762035,0.113671,0.245368
167,0.167,0.0760182,0.113104,0.243493
168,0.168,0.0758346,0.112543,0.241586
169,0.169,0.0756526,0.111989,0.239669
170,0.17,0.0754721,0.111441,0.237853
171,0.171,0.0752932,0.110899,0.236008
172,0.172,0.0751158,0.110362,0.234136
173,0.173,0.0749399,0.109832,0.232362
174,0.174,0.0747654,0.109307,0.230577
175,0.175,0.0745923,0.108788,0.228767
176,0.176,0.0744206,0.108275,0.227016
177,0.177,0.0742503,0.107767,0.22529
178,0.178,0.0740812,0.107265,0.223539
179,0.179,0.0739135,0.106768,0.221811
180,0.18,0.073747,0.106277,0.220141
181,0.181,0.0735818,0.105791,0.21845
182,0.182,0.0734178,0.10531,0.216742
183,0.183,0.0732551,0.104834,0.215128
184,0.184,0.0730934,0.104363,0.213493
185,0.185,0.072933,0.103897,0.21184
186,0.186,0.0727737,0.103436,0.210246
187,0.187,0.0726155,0.10298,0.208667
188,0.188,0.0724585,0.102528,0.20707
189,0.189,0.0723025,0.102082,0.205492
190,0.19,0.0721475,0.101639,0.203966
191,0.191,0.0719937,0.101202,0.202424
192,0.192,0.0718408,0.100769,0.200867
193,0.193,0.071689,0.100341,0.199388
194,0.194,0.0715382,0.0999165,0.197899
195,0.195,0.0713884,0.0994968,0.196397
196,0.196,0.0712395,0.0990813,0.194929
197,0.197,0.0710917,0.09867,0.193492
198,0.198,0.0709447,0.0982629,0.192042
199,0.199,0.0707987,0.09786,0.190584
200,0.2,0.0706537,0.097461,0.189198
201,0.201,0.0705095,0.0970661,0.187799
202,0.202,0.0703663,0.0966751,0.186391
203,0.203,0.0702239,0.096288,0.185015
204,0.204,0.0700824,0.0959047,0.183666
205,0.205,0.0699418,0.0955252,0.182308
206,0.206,0.069802,0.0951494,0.180941
207,0.207,0.0696631,0.0947773,0.179638
208,0.208,0.069525,0.0944088,0.178329
209,0.209,0.0693878,0.0940439,0.177013
210,0.21,0.0692513,0.0936826,0.175714
211,0.211,0.0691157,0.0933247,0.174452
212,0.212,0.0689809,0.0929703,0.173184
213,0.213,0.0688469,0.0926192,0.17191
214,0.214,0.0687136,0.0922715,0.170673
215,0.215,0.0685811,0.0919271,0.169451
216,0.216,0.0684494,0.091586,0.168225
217,0.217,0.0683185,0.091248,0.166995
218,0.218,0.0681883,0.0909133,0.165813
219,0.219,0.0680588,0.0905816,0.164633
220,0.22,0.0679301,0.0902531,0.163448
221,0.221,0.0678021,0.0899275,0.162266
222,0.222,0.0676748,0.089605,0.16113
223,0.223,0.0675483,0.0892855,0.159991
224,0.224,0.0674224,0.0889688,0.15885
225,0.225,0.0672973,0.0886551,0.157715
226,0.226,0.0671728,0.0883442,0.156619
227,0.227,0.067049,0.0880361,0.155521
