problem,method,reconstruction,limiter,nx,ny,ncell,tfinal,steps,status,total_wall_time_sec,initialization_time_sec,hydro_time_sec,cleaning_time_sec,diagnostics_compute_time_sec,diagnostics_write_time_sec,snapshot_write_time_sec,summary_write_time_sec,output_time_sec,total_cell_updates,seconds_per_step,cell_updates_per_second,cleaning_subcycles_total,projection_iterations_total,final_L2_norm_fv,final_Linf_norm_fv,min_pressure,min_density,energy_drift,failure_reason,summary_file,diagnostic_file
divergence_advection,none,plm,mc,32,32,1024,0.05,10,finished,0.809213,0.020306,0.711371,1.4393e-05,0.0089939,8.4047e-05,0.0,0.000150542,0.000234589,10240,0.0809213,12654.3,0,0,0.0695517,0.539306,0.97705,0.991338,-1.69074e-16,,results/mhd_runner/summaries/perf_da_plm_n32_none_none_summary.csv,results/mhd_runner/divergence/perf_da_plm_n32_none_none.csv
divergence_advection,mixed_glm,plm,mc,32,32,1024,0.05,10,finished,0.270211,0.00105606,0.233028,0.00788329,0.00398558,9.3028e-05,0.0,0.000248123,0.000341151,10240,0.0270211,37896.3,19,0,0.0338292,0.17202,0.983774,0.993561,1.18352e-15,,results/mhd_runner/summaries/perf_da_plm_n32_mixed_glm_mixed_glm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n32_mixed_glm_mixed_glm.csv
divergence_advection,none,plm,mc,64,64,4096,0.05,19,finished,1.0786,0.00528844,0.985615,2.996e-05,0.0204421,0.000184289,0.0,0.000160661,0.00034495,77824,0.0567684,72152.8,0,0,0.070093,0.502166,0.97584,0.990759,4.05778e-15,,results/mhd_runner/summaries/perf_da_plm_n64_none_none_summary.csv,results/mhd_runner/divergence/perf_da_plm_n64_none_none.csv
divergence_advection,mixed_glm,plm,mc,64,64,4096,0.05,19,finished,1.2889,0.0163763,1.08266,0.0616508,0.0249236,7.1016e-05,0.0,0.000144661,0.000215677,77824,0.0678368,60380.2,37,0,0.0366546,0.186116,0.982651,0.993345,2.19796e-15,,results/mhd_runner/summaries/perf_da_plm_n64_mixed_glm_mixed_glm_summary.csv,results/mhd_runner/divergence/perf_da_plm_n64_mixed_glm_mixed_glm.csv
