step,time,dt,L1,L2,Linf,L1_norm,L2_norm,Linf_norm
65,0.126953,0.00195312,0.0373269,0.0815602,0.452324,0.00028702,0.000622522,0.00339383
66,0.128906,0.00195312,0.0377879,0.0822221,0.452397,0.000290596,0.000627662,0.00339608
67,0.130859,0.00195312,0.0382418,0.0828361,0.453193,0.000294119,0.00063245,0.00340057
68,0.132812,0.00195312,0.0386735,0.0834027,0.453251,0.000297476,0.000636887,0.00340268
69,0.134766,0.00195312,0.0390962,0.0839223,0.452436,0.000300765,0.000640977,0.00339822
70,0.136719,0.00195312,0.0395181,0.0843958,0.450782,0.00030405,0.000644725,0.00338745
71,0.138672,0.00195312,0.0399229,0.0848243,0.448323,0.000307207,0.000648138,0.00337347
72,0.140625,0.00195312,0.0403135,0.0852091,0.446685,0.000310256,0.000651226,0.00335809
73,0.142578,0.00195312,0.0406971,0.0855516,0.444548,0.000313255,0.000653997,0.00334269
74,0.144531,0.00195312,0.0410726,0.0858533,0.441757,0.000316192,0.000656463,0.00332693
75,0.146484,0.00195312,0.0414376,0.0861159,0.4391,0.000319052,0.000658636,0.00330848
76,0.148438,0.00195312,0.0417821,0.0863411,0.43574,0.000321755,0.000660528,0.00328472
77,0.150391,0.00195312,0.0421252,0.0865307,0.432047,0.000324448,0.000662153,0.00325585
78,0.152344,0.00195312,0.0424641,0.0866866,0.429244,0.000327111,0.000663523,0.00323609
79,0.154297,0.00195312,0.0427816,0.0868105,0.425781,0.000329611,0.000664652,0.0032115
80,0.15625,0.00195312,0.0430876,0.0869045,0.421687,0.000332024,0.000665553,0.00318212
81,0.158203,0.00195312,0.0433969,0.0869702,0.417606,0.000334463,0.000666242,0.00315521
82,0.160156,0.00195312,0.043689,0.0870096,0.414226,0.000336771,0.00066673,0.00312649
83,0.162109,0.00195312,0.0439724,0.0870245,0.410248,0.000339013,0.000667031,0.00310051
84,0.164062,0.00195312,0.0442437,0.0870167,0.406547,0.000341163,0.000667159,0.00307486
85,0.166016,0.00195312,0.0445114,0.0869878,0.402393,0.000343286,0.000667126,0.00304486
86,0.167969,0.00195312,0.0447737,0.0869397,0.398483,0.000345368,0.000666945,0.00301437
87,0.169922,0.00195312,0.0450165,0.0868738,0.395105,0.0003473,0.000666628,0.00299023
88,0.171875,0.00195312,0.0452554,0.0867917,0.391178,0.000349204,0.000666186,0.00296189
89,0.173828,0.00195312,0.045495,0.086695,0.386894,0.000351113,0.00066563,0.00293435
90,0.175781,0.00195312,0.0457199,0.0865851,0.383559,0.000352908,0.000664972,0.00290565
91,0.177734,0.00195312,0.0459303,0.0864633,0.379932,0.000354593,0.000664221,0.00287879
92,0.179688,0.00195312,0.0461452,0.0863309,0.376335,0.000356313,0.000663386,0.00285588
93,0.181641,0.00195312,0.0463506,0.0861891,0.372639,0.00035796,0.000662477,0.00282914
94,0.183594,0.00195312,0.0465474,0.086039,0.368918,0.00035954,0.000661502,0.00280062
95,0.185547,0.00195312,0.0467337,0.0858817,0.36592,0.00036104,0.000660469,0.0027786
96,0.1875,0.00195312,0.0469176,0.0857182,0.362532,0.000362521,0.000659386,0.00275415
97,0.189453,0.00195312,0.0471017,0.0855494,0.35882,0.000364004,0.000658259,0.00273011
98,0.191406,0.00195312,0.0472715,0.0853762,0.355783,0.000365376,0.000657094,0.00270563
99,0.193359,0.00195312,0.0474294,0.0851992,0.352731,0.000366656,0.000655898,0.00268149
100,0.195312,0.00195312,0.0475979,0.0850193,0.349577,0.000368018,0.000654675,0.00266121
101,0.197266,0.00195312,0.0477535,0.084837,0.346491,0.00036928,0.000653432,0.00263891
102,0.199219,0.00195312,0.047899,0.084653,0.343276,0.000370464,0.000652171,0.00261487
103,0.201172,0.00195312,0.0480427,0.0844678,0.340593,0.000371633,0.000650898,0.00259428
104,0.203125,0.00195312,0.0481847,0.0842819,0.337816,0.000372789,0.000649615,0.0025743
105,0.205078,0.00195312,0.0483215,0.0840956,0.334647,0.000373905,0.000648326,0.00255356
