step,time,L1,L2,Linf
132,0.257812,0.015016,0.0238523,0.0696227
133,0.259766,0.0149676,0.0236906,0.068888
134,0.261719,0.0149196,0.0235313,0.0681726
135,0.263672,0.0148719,0.0233744,0.0674761
136,0.265625,0.0148245,0.0232198,0.0667986
137,0.267578,0.0147775,0.0230674,0.066151
138,0.269531,0.0147308,0.0229172,0.0655216
139,0.271484,0.0146843,0.0227691,0.06491
140,0.273438,0.0146382,0.0226231,0.0643155
141,0.275391,0.0145923,0.0224791,0.0637376
142,0.277344,0.0145467,0.0223371,0.0631758
143,0.279297,0.0145014,0.0221971,0.0626294
144,0.28125,0.0144562,0.0220589,0.0620978
145,0.283203,0.0144114,0.0219226,0.0615806
146,0.285156,0.0143667,0.0217882,0.0610772
147,0.287109,0.0143223,0.0216555,0.0605929
148,0.289062,0.014278,0.0215245,0.0601295
149,0.291016,0.014234,0.0213952,0.0596775
150,0.292969,0.0141902,0.0212675,0.0592364
151,0.294922,0.0141465,0.0211415,0.0588058
152,0.296875,0.014103,0.021017,0.0583851
153,0.298828,0.0140597,0.0208941,0.0579738
154,0.300781,0.0140165,0.0207727,0.0575715
155,0.302734,0.0139735,0.0206528,0.0571778
156,0.304688,0.0139306,0.0205342,0.0567923
157,0.306641,0.0138878,0.0204171,0.0564144
158,0.308594,0.0138452,0.0203014,0.056044
159,0.310547,0.0138027,0.020187,0.0556805
160,0.3125,0.0137603,0.0200739,0.0553236
161,0.314453,0.013718,0.0199621,0.0549731
162,0.316406,0.0136758,0.0198515,0.0546301
163,0.318359,0.0136337,0.0197421,0.0542943
164,0.320312,0.0135917,0.019634,0.0539633
165,0.322266,0.0135498,0.019527,0.0536368
166,0.324219,0.0135079,0.0194211,0.0533148
167,0.326172,0.0134661,0.0193164,0.052997
168,0.328125,0.0134244,0.0192127,0.0526831
169,0.330078,0.0133828,0.0191101,0.0523731
170,0.332031,0.0133412,0.0190086,0.0520667
171,0.333984,0.0132997,0.018908,0.0517639
172,0.335938,0.0132582,0.0188085,0.0514644
173,0.337891,0.0132168,0.0187099,0.0511681
174,0.339844,0.0131754,0.0186123,0.050875
175,0.341797,0.0131341,0.0185156,0.0505848
176,0.34375,0.0130928,0.0184198,0.0502976
177,0.345703,0.0130515,0.0183249,0.0500153
178,0.347656,0.0130103,0.0182309,0.0497363
179,0.349609,0.0129691,0.0181377,0.0494603
180,0.351562,0.0129279,0.0180454,0.0491869
181,0.353516,0.0128868,0.0179539,0.0489162
182,0.355469,0.0128457,0.0178631,0.048648
183,0.357422,0.0128046,0.0177732,0.0483823
184,0.359375,0.0127636,0.017684,0.0481191
185,0.361328,0.0127225,0.0175956,0.0478582
186,0.363281,0.0126815,0.0175079,0.0475996
187,0.365234,0.0126406,0.0174209,0.0473432
188,0.367188,0.0125996,0.0173347,0.0470891
189,0.369141,0.0125587,0.0172491,0.0468371
190,0.371094,0.0125177,0.0171642,0.0465873
191,0.373047,0.0124769,0.01708,0.0463395
192,0.375,0.012436,0.0169965,0.0460938
193,0.376953,0.0123951,0.0169136,0.0458501
194,0.378906,0.0123543,0.0168313,0.0456084
195,0.380859,0.0123135,0.0167497,0.0453686
196,0.382812,0.0122728,0.0166686,0.0451308
197,0.384766,0.012232,0.0165882,0.0448949
198,0.386719,0.0121913,0.0165084,0.0446609
199,0.388672,0.0121507,0.0164291,0.0444287
200,0.390625,0.01211,0.0163504,0.0441984
201,0.392578,0.0120694,0.0162723,0.04397
202,0.394531,0.0120288,0.0161948,0.0437434
203,0.396484,0.0119883,0.0161178,0.0435185
204,0.398438,0.0119478,0.0160413,0.0432955
205,0.400391,0.0119073,0.0159654,0.0430742
206,0.402344,0.0118669,0.01589,0.0428547
207,0.404297,0.0118266,0.0158151,0.0426369
208,0.40625,0.0117862,0.0157407,0.0424209
209,0.408203,0.011746,0.0156669,0.0422065
210,0.410156,0.0117058,0.0155935,0.0419939
211,0.412109,0.0116656,0.0155206,0.041783
212,0.414062,0.0116255,0.0154483,0.0415739
213,0.416016,0.0115854,0.0153764,0.0413698
214,0.417969,0.0115455,0.0153049,0.0411672
215,0.419922,0.0115055,0.015234,0.0409663
216,0.421875,0.0114657,0.0151635,0.0407669
217,0.423828,0.0114259,0.0150935,0.040569
218,0.425781,0.0113862,0.0150239,0.0403727
219,0.427734,0.0113465,0.0149547,0.040178
220,0.429688,0.011307,0.0148861,0.0399847
221,0.431641,0.0112675,0.0148178,0.0397929
222,0.433594,0.0112281,0.01475,0.0396027
223,0.435547,0.0111888,0.0146826,0.0394139
224,0.4375,0.0111495,0.0146157,0.0392265
225,0.439453,0.0111104,0.0145491,0.0390406
