step,time,dt,L1,L2,Linf,L1_norm,L2_norm,Linf_norm
65,0.126953,0.00195312,0.0229705,0.050418,0.201744,0.000177251,0.000388102,0.00154161
66,0.128906,0.00195312,0.0228103,0.0497683,0.197942,0.000176047,0.000383189,0.00151298
67,0.130859,0.00195312,0.0226541,0.0491339,0.194174,0.000174872,0.000378389,0.00148472
68,0.132812,0.00195312,0.0225018,0.0485142,0.190505,0.000173726,0.000373698,0.00145667
69,0.134766,0.00195312,0.0223532,0.0479089,0.18696,0.000172607,0.000369112,0.00143098
70,0.136719,0.00195312,0.0222083,0.0473173,0.183622,0.000171514,0.000364627,0.00140526
71,0.138672,0.00195312,0.0220668,0.046739,0.180285,0.000170448,0.000360241,0.00138013
72,0.140625,0.00195312,0.0219288,0.0461735,0.176986,0.000169406,0.000355949,0.00135524
73,0.142578,0.00195312,0.0217941,0.0456206,0.17376,0.000168389,0.00035175,0.00133039
74,0.144531,0.00195312,0.0216626,0.0450797,0.170598,0.000167396,0.00034764,0.0013076
75,0.146484,0.00195312,0.0215342,0.0445506,0.167663,0.000166425,0.000343617,0.00128496
76,0.148438,0.00195312,0.0214088,0.0440328,0.164731,0.000165476,0.000339679,0.00126271
77,0.150391,0.00195312,0.0212862,0.0435261,0.161817,0.000164549,0.000335822,0.00124078
78,0.152344,0.00195312,0.0211664,0.0430302,0.15898,0.000163641,0.000332046,0.0012189
79,0.154297,0.00195312,0.0210493,0.0425447,0.156154,0.000162754,0.000328347,0.0011981
80,0.15625,0.00195312,0.0209348,0.0420693,0.153522,0.000161886,0.000324724,0.00117817
81,0.158203,0.00195312,0.0208227,0.0416039,0.150946,0.000161036,0.000321175,0.00115837
82,0.160156,0.00195312,0.0207131,0.0411482,0.14838,0.000160204,0.000317698,0.00113904
83,0.162109,0.00195312,0.0206058,0.0407018,0.145863,0.000159389,0.000314291,0.00111978
84,0.164062,0.00195312,0.0205006,0.0402646,0.14338,0.000158591,0.000310952,0.00110063
85,0.166016,0.00195312,0.0203977,0.0398363,0.140932,0.000157808,0.00030768,0.00108291
86,0.167969,0.00195312,0.0202968,0.0394167,0.138669,0.000157041,0.000304473,0.00106543
87,0.169922,0.00195312,0.0201979,0.0390056,0.136417,0.000156289,0.00030133,0.00104818
88,0.171875,0.00195312,0.0201009,0.0386028,0.134179,0.000155551,0.000298249,0.00103124
89,0.173828,0.00195312,0.0200058,0.038208,0.131986,0.000154827,0.000295229,0.0010144
90,0.175781,0.00195312,0.0199124,0.0378211,0.129822,0.000154116,0.000292267,0.000997699
91,0.177734,0.00195312,0.0198208,0.037442,0.127687,0.000153418,0.000289364,0.000982214
92,0.179688,0.00195312,0.0197309,0.0370703,0.125711,0.000152732,0.000286516,0.000966943
93,0.181641,0.00195312,0.0196425,0.0367059,0.123749,0.000152059,0.000283724,0.00095183
94,0.183594,0.00195312,0.0195557,0.0363486,0.121804,0.000151397,0.000280986,0.000937036
95,0.185547,0.00195312,0.0194704,0.0359983,0.119882,0.000150746,0.0002783,0.000922368
96,0.1875,0.00195312,0.0193865,0.0356548,0.118001,0.000150106,0.000275665,0.000907843
97,0.189453,0.00195312,0.0193039,0.0353179,0.116141,0.000149476,0.00027308,0.000893959
98,0.191406,0.00195312,0.0192227,0.0349875,0.114375,0.000148856,0.000270544,0.000880663
99,0.193359,0.00195312,0.0191428,0.0346634,0.112671,0.000148246,0.000268056,0.000867491
100,0.195312,0.00195312,0.0190642,0.0343454,0.110985,0.000147645,0.000265615,0.000854471
101,0.197266,0.00195312,0.0189867,0.0340335,0.109319,0.000147053,0.000263219,0.000841731
