r_mid,mean_abs_dB_projection,max_abs_dB_projection
0.016313859375,2.63393375e-05,4.26094e-05
0.027189765625,6.6662375e-05,0.000132336
0.038065671875,0.00018354659166666665,0.000297013
0.048941578124999996,0.000330951725,0.000666156
0.059817484374999993,0.0010550913450000001,0.00268132
0.07069339062499999,0.0042850975000000005,0.00986889
0.081569296875,0.0062663664999999995,0.0113383
0.09244520312499999,0.010325400833333333,0.0168169
0.103321109375,0.015539071464285714,0.0371617
0.11419701562499998,0.0152952225,0.0430726
0.125072921875,0.016823847857142856,0.0369971
0.13594882812499998,0.00579913555,0.0387267
0.146824734375,0.0013952897272727276,0.00391321
0.157700640625,0.0010711334375,0.00166989
0.16857654687499998,0.0005515500333333333,0.00102509
0.179452453125,0.0003905636666666667,0.000602638
0.19032835937499998,0.0003071345192307692,0.000456548
0.201204265625,0.00022961482142857143,0.000309544
0.212080171875,0.00017195919999999997,0.000233886
0.22295607812499998,0.00013268660277777777,0.000191205
0.23383198437499997,0.00010590696538461537,0.00014279
0.24470789062499998,8.51308925e-05,0.000119423
0.255583796875,6.708192794117647e-05,9.2205e-05
0.266459703125,5.5929958333333336e-05,7.73591e-05
0.277335609375,4.602953289473684e-05,6.20878e-05
0.28821151562499997,3.8177440909090905e-05,5.4392e-05
0.299087421875,3.174713235294117e-05,4.62528e-05
0.309963328125,2.7240929166666666e-05,3.80536e-05
0.32083923437499995,2.2643251413043477e-05,3.21218e-05
0.33171514062499996,1.9183901666666667e-05,2.83312e-05
0.34259104687499997,1.651571293478261e-05,2.47173e-05
0.353466953125,1.4193912307692308e-05,2.02612e-05
0.364342859375,1.2253300799999998e-05,1.82523e-05
0.375218765625,1.0738469090909091e-05,1.66298e-05
0.38609467187499996,9.503992741935483e-06,1.44179e-05
0.396970578125,8.14486234375e-06,1.31015e-05
0.407846484375,7.170237833333334e-06,1.16795e-05
0.41872239062499994,6.480336999999999e-06,1.02235e-05
0.42959829687499995,5.758950982758621e-06,9.33957e-06
0.44047420312499996,5.117244875e-06,8.84032e-06
0.451350109375,4.693236896551724e-06,7.84786e-06
0.462226015625,4.276088013888889e-06,7.06774e-06
0.473101921875,3.98533427586207e-06,6.96635e-06
0.48397782812499995,3.6223636111111117e-06,6.47735e-06
0.49485373437499997,3.5726400714285725e-06,6.0513e-06
0.505729640625,3.1457025e-06,5.86297e-06
0.5166055468749999,2.809927e-06,4.71663e-06
0.527481453125,2.5491057999999997e-06,3.72581e-06
0.538357359375,2.332797333333333e-06,3.46868e-06
0.549233265625,2.1356811249999998e-06,3.29753e-06
0.560109171875,2.077399088235294e-06,3.11711e-06
0.5709850781249999,2.0358361785714285e-06,2.96026e-06
0.581860984375,2.056583133333333e-06,2.79663e-06
0.5927368906249999,2.0896189999999998e-06,2.59959e-06
0.603612796875,2.0998302777777777e-06,2.50362e-06
0.6144887031249999,2.115117e-06,2.42477e-06
0.625364609375,2.1171875000000002e-06,2.35651e-06
0.636240515625,2.124774375e-06,2.29872e-06
0.647116421875,2.1277565e-06,2.25094e-06
0.657992328125,2.12990375e-06,2.21257e-06
0.6688682343749999,2.131325e-06,2.18286e-06
0.679744140625,2.13231375e-06,2.16044e-06
