step,time,dt,L1_centered,L2_centered,Linf_centered,L1_norm_centered,L2_norm_centered,Linf_norm_centered,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
37,0.0361328,0.000976562,0.0355133,0.112147,0.678759,0.00026956,0.000844666,0.00503857,0.0355625,0.112449,0.705143,0.000269918,0.000846838,0.0052112
38,0.0371094,0.000976562,0.0353484,0.111112,0.668958,0.000268367,0.0008371,0.00496566,0.035397,0.111412,0.694866,0.000268721,0.00083925,0.00513533
39,0.0380859,0.000976562,0.0351825,0.110077,0.659126,0.000267166,0.00082953,0.00489254,0.0352305,0.110373,0.684563,0.000267515,0.000831659,0.00506143
40,0.0390625,0.000976562,0.0350157,0.109043,0.649271,0.000265958,0.000821961,0.00481926,0.035063,0.109336,0.674242,0.000266303,0.000824068,0.00499077
41,0.0400391,0.000976562,0.034848,0.108009,0.6394,0.000264743,0.0008144,0.00474586,0.0348948,0.108299,0.663912,0.000265084,0.000816486,0.00491996
42,0.0410156,0.000976562,0.0346796,0.106978,0.62952,0.000263522,0.00080685,0.00467242,0.0347258,0.107265,0.653579,0.000263859,0.000808916,0.00484905
43,0.0419922,0.000976562,0.0345105,0.105949,0.619639,0.000262296,0.000799319,0.0046008,0.0345563,0.106233,0.643772,0.00026263,0.000801365,0.00477809
44,0.0429688,0.000976562,0.0343409,0.104923,0.609762,0.000261066,0.000791811,0.00453341,0.0343862,0.105204,0.634224,0.000261396,0.000793836,0.00470712
45,0.0439453,0.000976562,0.0341709,0.103902,0.599897,0.000259832,0.00078433,0.00446601,0.0342157,0.10418,0.62468,0.000260159,0.000786336,0.00463619
46,0.0449219,0.000976562,0.0340006,0.102885,0.590218,0.000258595,0.000776881,0.00439863,0.0340449,0.103161,0.615146,0.000258918,0.000778869,0.00456535
47,0.0458984,0.000976562,0.0338299,0.101874,0.581222,0.000257356,0.000769469,0.00433134,0.0338738,0.102146,0.605628,0.000257676,0.000771439,0.00449463
48,0.046875,0.000976562,0.0336592,0.100868,0.57224,0.000256115,0.000762098,0.00426415,0.0337026,0.101138,0.596131,0.000256431,0.000764049,0.00442654
