step,time,dt,L1_centered,L2_centered,Linf_centered,L1_norm_centered,L2_norm_centered,Linf_norm_centered,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
37,0.0361328,0.000976562,0.0344172,0.105515,0.613128,0.000261622,0.000796273,0.00456203,0.0344629,0.105799,0.638146,0.000261956,0.000798318,0.00473556
38,0.0371094,0.000976562,0.0341737,0.104067,0.59912,0.000259856,0.000785685,0.00446457,0.0342188,0.104347,0.624303,0.000260185,0.000787703,0.00463262
39,0.0380859,0.000976562,0.0339262,0.102611,0.585919,0.000258061,0.000775041,0.00436573,0.0339706,0.102887,0.610272,0.000258384,0.000777033,0.00453263
40,0.0390625,0.000976562,0.0336749,0.10115,0.572539,0.000256236,0.000764355,0.00426557,0.0337186,0.101422,0.596062,0.000256555,0.000766321,0.00443246
41,0.0400391,0.000976562,0.0334198,0.0996852,0.558987,0.000254383,0.00075364,0.0041653,0.0334629,0.0999536,0.582207,0.000254697,0.000755581,0.00433104
42,0.0410156,0.000976562,0.0331612,0.0982186,0.545273,0.000252503,0.00074291,0.00406765,0.0332035,0.0984834,0.568446,0.000252812,0.000744827,0.00422844
43,0.0419922,0.000976562,0.0328991,0.0967522,0.531619,0.000250597,0.00073218,0.00396977,0.0329408,0.0970136,0.554531,0.000250901,0.000734074,0.00413416
44,0.0429688,0.000976562,0.0326337,0.095288,0.518458,0.000248665,0.000721464,0.00387663,0.0326747,0.0955461,0.541186,0.000248965,0.000723335,0.00403985
45,0.0439453,0.000976562,0.032365,0.093828,0.505904,0.000246709,0.000710777,0.00378712,0.0324054,0.0940829,0.528471,0.000247004,0.000712627,0.0039445
46,0.0449219,0.000976562,0.0320933,0.0923743,0.493519,0.00024473,0.000700133,0.00369659,0.032133,0.0926261,0.515619,0.00024502,0.000701963,0.00384815
47,0.0458984,0.000976562,0.0318186,0.0909288,0.481383,0.000242727,0.000689548,0.0036051,0.0318577,0.0911778,0.502637,0.000243013,0.000691358,0.00375234
48,0.046875,0.000976562,0.0315411,0.0894936,0.469121,0.000240703,0.000679036,0.00351804,0.0315797,0.0897399,0.489567,0.000240985,0.000680829,0.00366579
49,0.0478516,0.000976562,0.0312609,0.0880709,0.457485,0.000238658,0.000668613,0.0034372,0.0312989,0.0883147,0.477991,0.000238936,0.000670389,0.00358004
50,0.0488281,0.000976562,0.0309782,0.0866628,0.446699,0.000236594,0.000658294,0.00335546,0.0310156,0.0869043,0.466294,0.000236867,0.000660055,0.00349873
51,0.0498047,0.000976562,0.0306931,0.0852713,0.435792,0.00023451,0.000648095,0.00327285,0.0307299,0.0855107,0.455373,0.000234779,0.000649843,0.00341656
52,0.0507812,0.000976562,0.0304056,0.0838986,0.42477,0.000232408,0.000638031,0.00320031,0.0304424,0.0841361,0.444382,0.000232677,0.000639767,0.00333549
53,0.0517578,0.000976562,0.030116,0.0825468,0.415388,0.000230289,0.000628118,0.00312904,0.0301528,0.0827826,0.433808,0.000230558,0.000629843,0.00326393
54,0.0527344,0.000976562,0.0298244,0.0812181,0.405914,0.000228154,0.000618372,0.00305717,0.0298613,0.0814525,0.424273,0.000228425,0.000620088,0.00319153
55,0.0537109,0.000976562,0.0295308,0.0799147,0.396325,0.000226004,0.000608808,0.00299047,0.0295683,0.0801479,0.414623,0.000226278,0.000610516,0.00312127
56,0.0546875,0.000976562,0.0292354,0.0786387,0.387925,0.000223839,0.000599441,0.00292983,0.0292736,0.0788709,0.405209,0.000224118,0.000601145,0.0030546
57,0.0556641,0.000976562,0.0289384,0.0773922,0.379887,0.00022166,0.000590289,0.0028701,0.0289777,0.0776237,0.396655,0.000221948,0.000591988,0.00299281
58,0.0566406,0.000976562,0.0286399,0.0761774,0.371969,0.000219469,0.000581365,0.00281295,0.0286807,0.0764083,0.388595,0.000219768,0.000583062,0.00293639
59,0.0576172,0.000976562,0.0283399,0.0749962,0.364399,0.000217266,0.000572685,0.00275789,0.028383,0.075227,0.381106,0.000217582,0.000574382,0.00287912
60,0.0585938,0.000976562,0.0280387,0.0738509,0.357612,0.000215053,0.000564265,0.00270866,0.0280855,0.0740816,0.373504,0.000215396,0.000565963,0.00282173
61,0.0595703,0.000976562,0.0277362,0.0727433,0.351131,0.000212829,0.000556118,0.0026613,0.0277888,0.0729743,0.366411,0.000213214,0.00055782,0.00277453
62,0.0605469,0.000976562,0.0274328,0.0716755,0.344868,0.000210596,0.000548258,0.00261308,0.0274941,0.071907,0.360157,0.000211045,0.000549965,0.00272646
63,0.0615234,0.000976562,0.0271284,0.0706493,0.338647,0.000208355,0.000540701,0.00256993,0.0272043,0.0708815,0.353785,0.000208912,0.000542415,0.00268101
64,0.0625,0.000976562,0.0268231,0.0696665,0.333331,0.000206106,0.000533458,0.00253176,0.0269202,0.0698997,0.347823,0.000206818,0.00053518,0.00263784
65,0.0634766,0.000976562,0.0265235,0.0687288,0.328287,0.000203897,0.000526542,0.0024927,0.026645,0.0689632,0.342103,0.000204789,0.000528274,0.0025944
66,0.0644531,0.000976562,0.0262443,0.0678379,0.323123,0.000201836,0.000519964,0.00245275,0.0263816,0.0680736,0.336828,0.000202845,0.000521708,0.00255852
67,0.0654297,0.000976562,0.0259932,0.066995,0.318068,0.00019998,0.000513736,0.00241988,0.0261291,0.0672324,0.332142,0.000200981,0.000515493,0.00252329
68,0.0664062,0.000976562,0.0257731,0.0662017,0.314026,0.000198352,0.000507867,0.00238921,0.0258902,0.066441,0.327475,0.000199217,0.000509639,0.00248717
69,0.0673828,0.000976562,0.0255833,0.0654591,0.309972,0.000196947,0.000502366,0.00235764,0.0256822,0.0657004,0.322687,0.000197679,0.000504154,0.00245265
70,0.0683594,0.000976562,0.0254229,0.0647682,0.305795,0.000195758,0.00049724,0.00232648,0.0255088,0.0650117,0.318328,0.000196395,0.000499046,0.00242244
71,0.0693359,0.000976562,0.0252967,0.0641298,0.301742,0.000194823,0.000492496,0.00229772,0.0253733,0.0643756,0.314633,0.000195392,0.000494321,0.00239365
72,0.0703125,0.000976562,0.0251931,0.0635446,0.298359,0.000194056,0.000488139,0.00227369,0.0252662,0.0637929,0.310816,0.000194599,0.000489983,0.00236436
