step,time,dt,L1_centered,L2_centered,Linf_centered,L1_norm_centered,L2_norm_centered,Linf_norm_centered,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
38,0.0371094,0.000976562,0.0353716,0.111215,0.671313,0.000268531,0.000837855,0.00498099,0.0354194,0.111514,0.696536,0.000268878,0.000840001,0.00515307
39,0.0380859,0.000976562,0.0352076,0.110187,0.661463,0.000267343,0.000830339,0.00490769,0.0352547,0.110483,0.686198,0.000267686,0.000832464,0.00508261
40,0.0390625,0.000976562,0.0350427,0.10916,0.651582,0.000266149,0.000822827,0.00483416,0.0350893,0.109453,0.675835,0.000266488,0.00082493,0.00501187
41,0.0400391,0.000976562,0.0348771,0.108135,0.641676,0.000264949,0.000815323,0.00476107,0.034923,0.108424,0.666,0.000265284,0.000817406,0.00494092
42,0.0410156,0.000976562,0.0347108,0.107111,0.631752,0.000263744,0.000807834,0.00469374,0.0347562,0.107398,0.65644,0.000264074,0.000809897,0.0048698
43,0.0419922,0.000976562,0.034544,0.106091,0.621819,0.000262535,0.000800364,0.00462623,0.0345888,0.106375,0.646862,0.000262861,0.000802407,0.00479855
44,0.0429688,0.000976562,0.0343767,0.105074,0.611917,0.000261321,0.000792919,0.0045586,0.034421,0.105355,0.637273,0.000261644,0.000794942,0.00472723
45,0.0439453,0.000976562,0.0342091,0.104061,0.602875,0.000260105,0.000785503,0.00449089,0.0342529,0.10434,0.627678,0.000260424,0.000787507,0.00465589
46,0.0449219,0.000976562,0.0340412,0.103054,0.593826,0.000258886,0.000778121,0.00442313,0.0340846,0.103329,0.618084,0.000259202,0.000780107,0.00458457
47,0.0458984,0.000976562,0.0338732,0.102051,0.584774,0.000257666,0.000770776,0.00435538,0.0339161,0.102324,0.608497,0.000257978,0.000772744,0.00451472
48,0.046875,0.000976562,0.033705,0.101055,0.575725,0.000256444,0.000763474,0.00428767,0.0337475,0.101325,0.598923,0.000256753,0.000765424,0.00444684
49,0.0478516,0.000976562,0.0335369,0.100065,0.566685,0.000255222,0.000756217,0.00422004,0.0335789,0.100333,0.589367,0.000255527,0.00075815,0.00437905
50,0.0488281,0.000976562,0.0333688,0.0990819,0.557658,0.000254,0.000749009,0.00415253,0.0334104,0.0993474,0.579835,0.000254302,0.000750926,0.0043114
51,0.0498047,0.000976562,0.0332009,0.0981064,0.54865,0.000252778,0.000741854,0.00408549,0.033242,0.0983695,0.570736,0.000253077,0.000743754,0.0042439
52,0.0507812,0.000976562,0.0330332,0.0971387,0.539666,0.000251557,0.000734754,0.00402468,0.0330739,0.0973995,0.561704,0.000251854,0.000736639,0.0041821
53,0.0517578,0.000976562,0.0328658,0.0961792,0.530711,0.000250338,0.000727713,0.00396422,0.0329061,0.0964378,0.55272,0.000250632,0.000729583,0.00412098
54,0.0527344,0.000976562,0.0326987,0.0952284,0.522325,0.000249121,0.000720734,0.00390387,0.0327387,0.0954848,0.544149,0.000249412,0.000722589,0.00405997
55,0.0537109,0.000976562,0.0325321,0.0942865,0.514318,0.000247907,0.000713818,0.00384366,0.0325716,0.0945408,0.535951,0.000248195,0.000715658,0.00399911
56,0.0546875,0.000976562,0.0323659,0.0933538,0.506331,0.000246696,0.000706967,0.00378361,0.0324051,0.0936061,0.527852,0.000246981,0.000708795,0.00393843
57,0.0556641,0.000976562,0.0322003,0.0924306,0.498366,0.000245488,0.000700185,0.00372512,0.0322392,0.0926811,0.519779,0.000245771,0.000702,0.00387796
