problem,method,reconstruction,N,final_time,final_L2_norm_fv,min_pressure,energy_drift,diagnostic_file
field_loop,mixed_glm,pcm,128,0.5,0.0273495,1.0,0.0,results/mhd_runner/divergence/mhd_fl_conv_pcm_n128_mixed_glm.csv
field_loop,mixed_glm,plm,128,0.5,0.0298748,0.999999,0.0,results/mhd_runner/divergence/mhd_fl_conv_plm_n128_mixed_glm.csv
