x,rho,u,v,w,p,Bx,By,Bz
-4.2375000000e-01,1.0188624778e+00,1.5816080385e-02,3.4119809914e-02,0.0000000000e+00,1.0371300569e+00,7.9090748587e-01,9.9473144202e-01,0.0000000000e+00
-4.2125000000e-01,1.0192752115e+00,1.5041706528e-02,3.2652108997e-02,0.0000000000e+00,1.0380569154e+00,7.9179036807e-01,9.9439898432e-01,0.0000000000e+00
-4.1875000000e-01,1.0196608136e+00,1.4252083212e-02,3.1130800959e-02,0.0000000000e+00,1.0389267373e+00,7.9263200822e-01,9.9409466267e-01,0.0000000000e+00
-4.1625000000e-01,1.0200210641e+00,1.3449285054e-02,2.9562212861e-02,0.0000000000e+00,1.0397426988e+00,7.9343157572e-01,9.9381511873e-01,0.0000000000e+00
-4.1375000000e-01,1.0203574484e+00,1.2635221093e-02,2.7952075353e-02,0.0000000000e+00,1.0405074082e+00,7.9418828150e-01,9.9355746599e-01,0.0000000000e+00
-4.1125000000e-01,1.0206711231e+00,1.1811600315e-02,2.6305426012e-02,0.0000000000e+00,1.0412228313e+00,7.9490137879e-01,9.9331936327e-01,0.0000000000e+00
-4.0875000000e-01,1.0209629226e+00,1.0979925284e-02,2.4626604442e-02,0.0000000000e+00,1.0418903029e+00,7.9557016383e-01,9.9309901554e-01,0.0000000000e+00
-4.0625000000e-01,1.0212333943e+00,1.0141506031e-02,2.2919311370e-02,0.0000000000e+00,1.0425105952e+00,7.9619397663e-01,9.9289512425e-01,0.0000000000e+00
-4.0375000000e-01,1.0214828482e+00,9.2974860426e-03,2.1186703965e-02,0.0000000000e+00,1.0430840188e+00,7.9677220154e-01,9.9270680934e-01,0.0000000000e+00
-4.0125000000e-01,1.0217114112e+00,8.4488732784e-03,1.9431504172e-02,0.0000000000e+00,1.0436105318e+00,7.9730426794e-01,9.9253352106e-01,0.0000000000e+00
-3.9875000000e-01,1.0219190779e+00,7.5965710203e-03,1.7656103529e-02,0.0000000000e+00,1.0440898442e+00,7.9778965074e-01,9.9237495498e-01,0.0000000000e+00
-3.9625000000e-01,1.0221057549e+00,6.7414053430e-03,1.5862654645e-02,0.0000000000e+00,1.0445215081e+00,7.9822787092e-01,9.9223097769e-01,0.0000000000e+00
-3.9375000000e-01,1.0222712956e+00,5.8841476961e-03,1.4053145124e-02,0.0000000000e+00,1.0449049900e+00,7.9861849602e-01,9.9210156661e-01,0.0000000000e+00
-3.9125000000e-01,1.0224155271e+00,5.0255323356e-03,1.2229453635e-02,0.0000000000e+00,1.0452397260e+00,7.9896114053e-01,9.9198676409e-01,0.0000000000e+00
-3.8875000000e-01,1.0225382691e+00,4.1662690947e-03,1.0393390159e-02,0.0000000000e+00,1.0455251618e+00,7.9925546631e-01,9.9188664416e-01,0.0000000000e+00
