x,rho,u,v,w,p,Bx,By,Bz
-4.2625000000e-01,1.0011740236e+00,-2.3244022430e-02,-9.6974412350e-03,0.0000000000e+00,1.0361094825e+00,7.4622005255e-01,9.9547149696e-01,0.0000000000e+00
-4.2375000000e-01,1.0008804233e+00,-2.3057161298e-02,-9.8259763840e-03,0.0000000000e+00,1.0367320639e+00,7.4554151717e-01,9.9479935901e-01,0.0000000000e+00
-4.2125000000e-01,1.0005897418e+00,-2.2846961043e-02,-9.9383446500e-03,0.0000000000e+00,1.0373219791e+00,7.4486915134e-01,9.9412762503e-01,0.0000000000e+00
-4.1875000000e-01,1.0003015762e+00,-2.2614164822e-02,-1.0036225918e-02,0.0000000000e+00,1.0378772099e+00,7.4420361776e-01,9.9345837382e-01,0.0000000000e+00
-4.1625000000e-01,1.0000156483e+00,-2.2359458377e-02,-1.0121032847e-02,0.0000000000e+00,1.0383960470e+00,7.4354557240e-01,9.9279345379e-01,0.0000000000e+00
-4.1375000000e-01,9.9973179436e-01,-2.2083472865e-02,-1.0193925936e-02,0.0000000000e+00,1.0388770708e+00,7.4289566386e-01,9.9213449468e-01,0.0000000000e+00
-4.1125000000e-01,9.9944994736e-01,-2.1786793004e-02,-1.0255846329e-02,0.0000000000e+00,1.0393191170e+00,7.4225453267e-01,9.9148293319e-01,0.0000000000e+00
-4.0875000000e-01,9.9917011671e-01,-2.1469967647e-02,-1.0307556392e-02,0.0000000000e+00,1.0397212365e+00,7.4162281072e-01,9.9084004462e-01,0.0000000000e+00
-4.0625000000e-01,9.9889236885e-01,-2.1133520537e-02,-1.0349680463e-02,0.0000000000e+00,1.0400826566e+00,7.4100112061e-01,9.9020697446e-01,0.0000000000e+00
-4.0375000000e-01,9.9861681043e-01,-2.0777959799e-02,-1.0382740862e-02,0.0000000000e+00,1.0404027467e+00,7.4039007505e-01,9.8958476643e-01,0.0000000000e+00
-4.0125000000e-01,9.9834357514e-01,-2.0403785358e-02,-1.0407186788e-02,0.0000000000e+00,1.0406809923e+00,7.3979027622e-01,9.8897438483e-01,0.0000000000e+00
-3.9875000000e-01,9.9807281423e-01,-2.0011494024e-02,-1.0423415642e-02,0.0000000000e+00,1.0409169751e+00,7.3920231523e-01,9.8837673119e-01,0.0000000000e+00
-3.9625000000e-01,9.9780469040e-01,-1.9601582224e-02,-1.0431787542e-02,0.0000000000e+00,1.0411103616e+00,7.3862677148e-01,9.8779265574e-01,0.0000000000e+00
-3.9375000000e-01,9.9753937456e-01,-1.9174546488e-02,-1.0432634409e-02,0.0000000000e+00,1.0412608960e+00,7.3806421216e-01,9.8722296496e-01,0.0000000000e+00
-3.9125000000e-01,9.9727704658e-01,-1.8730881687e-02,-1.0426265195e-02,0.0000000000e+00,1.0413683990e+00,7.3751519166e-01,9.8666842660e-01,0.0000000000e+00
-3.8875000000e-01,9.9701789317e-01,-1.8271076826e-02,-1.0412968753e-02,0.0000000000e+00,1.0414327705e+00,7.3698025102e-01,9.8612977361e-01,0.0000000000e+00
-3.8625000000e-01,9.9676211590e-01,-1.7795607903e-02,-1.0393015645e-02,0.0000000000e+00,1.0414539965e+00,7.3645991752e-01,9.8560770826e-01,0.0000000000e+00
-3.8375000000e-01,9.9650993351e-01,-1.7304927018e-02,-1.0366660000e-02,0.0000000000e+00,1.0414321613e+00,7.3595470417e-01,9.8510290792e-01,0.0000000000e+00
-3.8125000000e-01,9.9626159266e-01,-1.6799446571e-02,-1.0334142357e-02,0.0000000000e+00,1.0413674645e+00,7.3546510935e-01,9.8461603368e-01,0.0000000000e+00
-3.7875000000e-01,9.9601738022e-01,-1.6279517123e-02,-1.0295694319e-02,0.0000000000e+00,1.0412602458e+00,7.3499161661e-01,9.8414774321e-01,0.0000000000e+00
