step,time,dt,limited_cells,theta_min,theta_mean,min_pressure_before_source,min_pressure_after_source,max_abs_divB
1,0.00567457,0.00567457,0,1,1,0.131834,0.131832,0.0539766
2,0.0113315,0.0056569,0,1,1,0.130604,0.130595,0.107908
3,0.0169836,0.00565212,0,1,1,0.128948,0.128945,0.161734
4,0.02,0.00301641,0,1,1,0.127934,0.127935,0.189486
