step,time,dt,limited_cells,theta_min,theta_mean,min_pressure_before_source,min_pressure_after_source,max_abs_divB
75,0.0227019,0.00015677,387,0,0.108832,7.87814e-13,7.87814e-13,1372.39
76,0.0228574,0.000155476,391,0,0.101834,7.9492e-13,7.9492e-13,1417.61
77,0.0230125,0.000155126,398,0,0.102788,8.00841e-13,8.00841e-13,1452.18
78,0.0231676,0.000155095,407,0,0.111119,7.99065e-13,7.99065e-13,1491.3
79,0.0233222,0.000154592,405,0,0.103224,7.93735e-13,7.93735e-13,1511.27
80,0.0234759,0.000153711,411,0,0.105509,7.84262e-13,7.84262e-13,1522.15
81,0.0236279,0.000152016,419,0,0.100594,7.75676e-13,7.75676e-13,1520.86
82,0.0237783,0.000150416,425,0,0.090432,7.67682e-13,7.67682e-13,1516.21
83,0.0239275,0.000149127,433,0,0.0958921,7.59985e-13,7.59985e-13,1503.96
84,0.0240752,0.000147771,440,0,0.0944865,7.52583e-13,7.52583e-13,1489.43
85,0.0242216,0.00014638,444,0,0.0937456,7.45182e-13,7.45182e-13,1474.51
86,0.0243665,0.000144879,452,0,0.0946593,7.38668e-13,7.38668e-13,1469.32
87,0.0245098,0.000143332,456,0,0.086903,7.31563e-13,7.31563e-13,1630.71
88,0.0246516,0.000141767,462,0,0.088648,7.25346e-13,7.25346e-13,1634.23
89,0.0247918,0.000140206,474,0,0.0987984,7.19128e-13,7.19128e-13,1636.62
90,0.0249305,0.000138663,476,0,0.0959452,7.13207e-13,7.13207e-13,1609.02
91,0.0250693,0.000138864,481,0,0.0987862,7.0699e-13,7.0699e-13,1585.28
92,0.0252077,0.000138382,485,0,0.0976374,7.00773e-13,7.00773e-13,1544
93,0.0253429,0.000135221,485,0,0.0928455,6.94556e-13,6.94556e-13,1529.9
94,0.0254752,0.000132238,492,0,0.099192,6.8893e-13,6.8893e-13,1547.71
95,0.0256045,0.000129387,498,0,0.0945452,6.83305e-13,6.83305e-13,1566.42
96,0.0257312,0.000126638,506,0,0.0955874,6.78124e-13,6.78124e-13,1585.99
97,0.0258553,0.000124092,514,0,0.0934929,6.72647e-13,6.72647e-13,1753.03
98,0.0259764,0.000121136,516,0,0.0882684,6.67466e-13,7.29787e-13,1847.61
99,0.0260955,0.000119044,528,0,0.0989741,7.21793e-13,7.21793e-13,1854.85
100,0.0262106,0.000115139,536,0,0.0956107,7.13799e-13,7.13799e-13,1857.61
101,0.0263218,0.000111175,540,0,0.0882733,7.0699e-13,7.0699e-13,1830.08
102,0.0264296,0.000107837,544,0,0.0966284,7.00181e-13,7.00181e-13,1779.84
