i,j,x,y,rho,u,v,w,p,Bx,By,Bz,psi,divB_fv,Bmag
47,0,0.371094,0.00390625,1,1,1,0,1,-4.7303e-06,7.24037e-06,0,-1.66403e-06,5.73678e-06,8.64862e-06
48,0,0.378906,0.00390625,1,1,1,0,1,-4.41545e-06,6.35856e-06,0,-1.63015e-06,6.79084e-06,7.74128e-06
49,0,0.386719,0.00390625,1,1,1,0,1,-4.09772e-06,5.5612e-06,0,-1.57862e-06,7.89686e-06,6.90784e-06
50,0,0.394531,0.00390625,1,1,1,0,1,-3.77727e-06,4.84003e-06,0,-1.50925e-06,9.00713e-06,6.13952e-06
51,0,0.402344,0.00390625,1,1,1,0,1,-3.45451e-06,4.18828e-06,0,-1.42223e-06,1.0073e-05,5.42912e-06
52,0,0.410156,0.00390625,1,1,1,0,1,-3.13012e-06,3.60017e-06,0,-1.31827e-06,1.10464e-05,4.77062e-06
53,0,0.417969,0.00390625,1,1,1,0,1,-2.80502e-06,3.07054e-06,0,-1.19854e-06,1.18816e-05,4.15889e-06
54,0,0.425781,0.00390625,1,1,1,0,1,-2.48041e-06,2.59457e-06,0,-1.06471e-06,1.2537e-05,3.58946e-06
55,0,0.433594,0.00390625,1,1,1,0,1,-2.1577e-06,2.16751e-06,0,-9.18888e-07,1.2977e-05,3.05839e-06
56,0,0.441406,0.00390625,1,1,1,0,1,-1.83854e-06,1.78454e-06,0,-7.63616e-07,1.3173e-05,2.56219e-06
57,0,0.449219,0.00390625,1,1,1,0,1,-1.52475e-06,1.44066e-06,0,-6.01782e-07,1.31051e-05,2.09771e-06
58,0,0.457031,0.00390625,1,1,1,0,1,-1.21827e-06,1.13063e-06,0,-4.36546e-07,1.27629e-05,1.66208e-06
59,0,0.464844,0.00390625,1,1,1,0,1,-9.21123e-07,8.48896e-07,0,-2.7125e-07,1.21457e-05,1.25263e-06
60,0,0.472656,0.00390625,1,1,1,0,1,-6.35361e-07,5.89625e-07,0,-1.09313e-07,1.12624e-05,8.668e-07
61,0,0.480469,0.00390625,1,1,1,0,1,-3.62991e-07,3.4671e-07,0,4.58747e-08,1.01316e-05,5.01966e-07
62,0,0.488281,0.00390625,1,1,1,0,1,-1.05916e-07,1.13823e-07,0,1.91057e-07,8.78006e-06,1.55479e-07
63,0,0.496094,0.00390625,1,1,1,0,1,1.34116e-07,-1.15529e-07,0,3.23214e-07,7.24196e-06,1.77014e-07
64,0,0.503906,0.00390625,1,1,1,0,1,3.55574e-07,-3.47915e-07,0,4.39654e-07,5.55711e-06,4.97471e-07
65,0,0.511719,0.00390625,1,1,1,0,1,5.57192e-07,-5.89892e-07,0,5.38097e-07,3.76942e-06,8.1144e-07
66,0,0.519531,0.00390625,1,1,1,0,1,7.38009e-07,-8.47907e-07,0,6.16734e-07,1.92504e-06,1.1241e-06
67,0,0.527344,0.00390625,1,1,1,0,1,8.97398e-07,-1.1282e-06,0,6.74285e-07,7.05842e-08,1.44158e-06
68,0,0.535156,0.00390625,1,1,1,0,1,1.03509e-06,-1.43669e-06,0,7.10023e-07,-1.74864e-06,1.77073e-06
69,0,0.542969,0.00390625,1,1,1,0,1,1.15118e-06,-1.77893e-06,0,7.23794e-07,-3.49026e-06,2.11892e-06
70,0,0.550781,0.00390625,1,1,1,0,1,1.24611e-06,-2.15997e-06,0,7.16007e-07,-5.11626e-06,2.49365e-06
71,0,0.558594,0.00390625,1,1,1,0,1,1.32066e-06,-2.58436e-06,0,6.87614e-07,-6.59421e-06,2.90225e-06
72,0,0.566406,0.00390625,1,1,1,0,1,1.37592e-06,-3.05606e-06,0,6.4007e-07,-7.89822e-06,3.35151e-06
73,0,0.574219,0.00390625,1,1,1,0,1,1.41321e-06,-3.57846e-06,0,5.75276e-07,-9.00956e-06,3.8474e-06
74,0,0.582031,0.00390625,1,1,1,0,1,1.43405e-06,-4.15439e-06,0,4.95512e-07,-9.917e-06,4.39494e-06
75,0,0.589844,0.00390625,1,1,1,0,1,1.44008e-06,-4.78617e-06,0,4.03359e-07,-1.06168e-05,4.99812e-06
