step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure
43,0.0586535,0.00136404,7.22871e-05,0.000195882,0.00136198,0.191103,0.392198,2.02739,1,1,1,0,2.5,1,1,0,0,0
44,0.0600176,0.00136404,7.20059e-05,0.000194047,0.00133982,0.192286,0.388929,1.98301,1,1,1,0,2.5,1,1,0,0,0
45,0.0613816,0.00136404,7.17329e-05,0.000192284,0.00131617,0.193504,0.386035,1.92392,1,1,1,0,2.5,1,1,0,0,0
46,0.0627457,0.00136404,7.14734e-05,0.000190588,0.00129595,0.194625,0.382904,1.88305,1,1,1,0,2.5,1,1,0,0,0
47,0.0641097,0.00136404,7.1214e-05,0.000188956,0.00127981,0.195666,0.379629,1.82617,1,1,1,0,2.5,1,1,0,0,0
48,0.0654737,0.00136404,7.09722e-05,0.000187382,0.0012621,0.196732,0.376629,1.79427,1,1,1,0,2.5,1,1,0,0,0
49,0.0668378,0.00136404,7.07404e-05,0.000185863,0.00124298,0.197822,0.373792,1.73704,1,1,1,0,2.5,1,1,0,0,0
50,0.0682018,0.00136404,7.05368e-05,0.000184397,0.00122262,0.198981,0.371113,1.71131,1,1,1,0,2.5,1,1,0,0,0
51,0.0695658,0.00136404,7.03216e-05,0.000182979,0.00120279,0.200218,0.368769,1.70714,1,1,1,0,2.5,1,1,0,0,0
52,0.0709299,0.00136404,7.01222e-05,0.000181607,0.00118926,0.201433,0.366735,2.46164,1,1,1,0,2.5,1,1,0,0,0
53,0.0722939,0.00136404,6.99297e-05,0.000180278,0.00117434,0.202386,0.363516,1.58976,1,1,1,0,2.5,1,1,0,0,0
54,0.0736579,0.00136404,6.97423e-05,0.000178989,0.00115818,0.203406,0.360972,1.56252,1,1,1,0,2.5,1,1,0,0,0
55,0.075022,0.00136404,6.95558e-05,0.000177738,0.00114087,0.204476,0.358805,1.57572,1,1,1,0,2.5,1,1,0,0,0
56,0.076386,0.00136404,6.9377e-05,0.000176523,0.00112254,0.205693,0.358144,3.51437,1,1,1,0,2.5,1,1,0,0,0
57,0.0777501,0.00136404,6.92075e-05,0.000175342,0.00110959,0.206487,0.354494,2.0803,1,1,1,0,2.5,1,1,0,0,0
58,0.0791141,0.00136404,6.90384e-05,0.000174192,0.00109714,0.207309,0.351692,1.4337,1,1,1,0,2.5,1,1,0,0,0
59,0.0804781,0.00136404,6.88675e-05,0.000173072,0.00108351,0.208208,0.349417,1.40732,1,1,1,0,2.5,1,1,0,0,0
60,0.0818422,0.00136404,6.86994e-05,0.000171981,0.00106881,0.209106,0.347284,1.37404,1,1,1,0,2.5,1,1,0,0,0
61,0.0832062,0.00136404,6.85295e-05,0.000170915,0.00105312,0.209973,0.345173,1.35316,1,1,1,0,2.5,1,1,0,0,0
62,0.0845702,0.00136404,6.83615e-05,0.000169875,0.00103862,0.210799,0.34309,1.32307,1,1,1,0,2.5,1,1,0,0,0
63,0.0859343,0.00136404,6.81999e-05,0.000168859,0.00102828,0.211554,0.341003,1.30243,1,1,1,0,2.5,1,1,0,0,0
64,0.0872983,0.00136404,6.8039e-05,0.000167865,0.00101684,0.212204,0.338864,1.27692,1,1,1,0,2.5,1,1,0,0,0
65,0.0886623,0.00136404,6.78795e-05,0.000166893,0.00100439,0.212742,0.336779,1.25372,1,1,1,0,2.5,1,1,0,0,0
66,0.0900264,0.00136404,6.77134e-05,0.00016594,0.00099101,0.213096,0.334775,1.41046,1,1,1,0,2.5,1,1,0,0,0
67,0.0913904,0.00136404,6.75521e-05,0.000165007,0.000978103,0.213364,0.334659,3.8447,1,1,1,0,2.5,1,1,0,0,0
68,0.0927544,0.00136404,6.73982e-05,0.000164092,0.000968656,0.21274,0.329898,2.01386,1,1,1,0,2.5,1,1,0,0,0
69,0.0941185,0.00136404,6.72417e-05,0.000163194,0.000958092,0.211811,0.326072,1.16536,1,1,1,0,2.5,1,1,0,0,0
70,0.0954825,0.00136404,6.7087e-05,0.000162312,0.000946477,0.210601,0.322354,1.14483,1,1,1,0,2.5,1,1,0,0,0
71,0.0968466,0.00136404,6.69321e-05,0.000161447,0.000934966,0.209106,0.318555,1.73965,1,1,1,0,2.5,1,1,0,0,0
72,0.0982106,0.00136404,6.6776e-05,0.000160595,0.00092633,0.207324,0.314563,2.39851,1,1,1,0,2.5,1,1,0,0,0
73,0.0995746,0.00136404,6.66257e-05,0.000159758,0.000918369,0.205101,0.308934,1.67387,1,1,1,0,2.5,1,1,0,0,0
74,0.100939,0.00136404,6.64722e-05,0.000158935,0.000909364,0.202807,0.30366,1.75127,1,1,1,0,2.5,1,1,0,0,0
75,0.102303,0.00136404,6.63199e-05,0.000158124,0.000899369,0.20045,0.298419,1.74805,1,1,1,0,2.5,1,1,0,0,0
76,0.103667,0.00136404,6.61725e-05,0.000157326,0.000888437,0.198009,0.293205,1.79713,1,1,1,0,2.5,1,1,0,0,0
77,0.105031,0.00136404,6.60269e-05,0.00015654,0.000878409,0.195485,0.288009,2.03868,1,1,1,0,2.5,1,1,0,0,0
78,0.106395,0.00136404,6.58812e-05,0.000155765,0.000871794,0.192901,0.282863,2.21976,1,1,1,0,2.5,1,1,0,0,0
79,0.107759,0.00136404,6.57359e-05,0.000155,0.000864196,0.190257,0.277635,2.2804,1,1,1,0,2.5,1,1,0,0,0
