step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure
38,0.0517388,0.0013606,0.0145571,0.0377886,0.190737,0.00011264,0.000291715,0.00146333,1,1,0.5,0,2.6266,0.993627,0.982402,0,0,0
39,0.0530994,0.00136053,0.0144573,0.0372738,0.186809,0.000111884,0.000287794,0.00143334,1,1,0.5,0,2.6266,0.993435,0.982165,0,0,0
40,0.0544598,0.00136047,0.0143598,0.0367736,0.183007,0.000111145,0.000283985,0.00140431,1,1,0.5,0,2.6266,0.993247,0.981939,0,0,0
41,0.0558202,0.0013604,0.0142643,0.0362876,0.179327,0.000110422,0.000280282,0.0013762,1,1,0.5,0,2.6266,0.993063,0.981724,0,0,0
42,0.0571806,0.00136033,0.014171,0.0358151,0.175763,0.000109713,0.00027668,0.00134898,1,1,0.5,0,2.6266,0.992884,0.981519,0,0,0
43,0.0585408,0.00136026,0.0140795,0.0353556,0.172311,0.00010902,0.000273177,0.00132279,1,1,0.5,0,2.6266,0.992709,0.981325,0,0,0
44,0.059901,0.0013602,0.01399,0.0349084,0.168967,0.000108341,0.000269767,0.00129788,1,1,0.5,0,2.6266,0.992538,0.98114,0,0,0
45,0.0612612,0.00136013,0.0139023,0.0344731,0.165786,0.000107675,0.000266447,0.00127418,1,1,0.5,0,2.6266,0.992372,0.980965,0,0,0
46,0.0626212,0.00136006,0.0138163,0.0340492,0.162778,0.000107022,0.000263213,0.00125115,1,1,0.5,0,2.6266,0.992211,0.980799,0,0,0
47,0.0639812,0.00135999,0.0137319,0.0336363,0.159855,0.000106381,0.000260061,0.00122878,1,1,0.5,0,2.6266,0.992054,0.980641,0,0,0
48,0.0653411,0.00135992,0.0136492,0.0332339,0.157015,0.000105753,0.00025699,0.00120704,1,1,0.5,0,2.6266,0.991903,0.980492,0,0,0
49,0.066701,0.00135984,0.0135681,0.0328416,0.154254,0.000105137,0.000253995,0.00118619,1,1,0.5,0,2.6266,0.991756,0.980351,0,0,0
50,0.0680607,0.00135977,0.0134885,0.0324591,0.15157,0.000104531,0.000251073,0.00116604,1,1,0.5,0,2.6266,0.991607,0.980218,0,0,0
51,0.0694204,0.0013597,0.0134103,0.0320858,0.148977,0.000103937,0.000248222,0.00114643,1,1,0.5,0,2.6266,0.991462,0.980092,0,0,0
52,0.0707801,0.00135963,0.0133335,0.0317216,0.146485,0.000103353,0.000245439,0.00112734,1,1,0.5,0,2.6266,0.991322,0.979962,0,0,0
53,0.0721396,0.00135956,0.0132581,0.0313661,0.144058,0.00010278,0.000242722,0.00110874,1,1,0.5,0,2.6266,0.991182,0.979837,0,0,0
54,0.0734991,0.00135949,0.013184,0.0310189,0.141694,0.000102216,0.000240068,0.00109063,1,1,0.5,0,2.6266,0.991046,0.979718,0,0,0
55,0.0748586,0.00135943,0.0131111,0.0306797,0.139391,0.000101662,0.000237475,0.00107299,1,1,0.5,0,2.6266,0.990916,0.979606,0,0,0
56,0.0762179,0.00135936,0.0130396,0.0303483,0.137147,0.000101117,0.000234941,0.00105578,1,1,0.5,0,2.6266,0.990791,0.9795,0,0,0
57,0.0775772,0.0013593,0.0129692,0.0300244,0.134958,0.000100581,0.000232463,0.00103901,1,1,0.5,0,2.6266,0.990672,0.9794,0,0,0
58,0.0789365,0.00135923,0.0128999,0.0297077,0.132824,0.000100054,0.00023004,0.00102266,1,1,0.5,0,2.6266,0.990558,0.979305,0,0,0
59,0.0802956,0.00135917,0.0128319,0.0293979,0.130742,9.95351e-05,0.00022767,0.00100671,1,1,0.5,0,2.6266,0.99045,0.979216,0,0,0
