step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv,total_mass,total_momentum_x,total_momentum_y,total_momentum_z,total_energy,min_density,min_pressure,has_nonfinite,has_negative_density,has_negative_pressure
32,0.0441512,0.00133558,0.0271981,0.035833,0.142226,0.00105978,0.00214196,0.0728262,0.221049,-1.66991e-05,-1.4885e-05,0,0.349256,0.200005,0.113733,0,0,0
33,0.0454842,0.00133307,0.0280471,0.0370248,0.149896,0.00109823,0.00226048,0.0811692,0.221049,-1.81836e-05,-1.61605e-05,0,0.349256,0.198938,0.112775,0,0,0
34,0.0468148,0.00133056,0.0288966,0.0382364,0.158376,0.00113668,0.0023828,0.094974,0.221049,-1.97482e-05,-1.74994e-05,0,0.349256,0.197861,0.111809,0,0,0
35,0.0481428,0.00132803,0.0297482,0.0394688,0.167613,0.00117467,0.00248566,0.098768,0.221049,-2.13944e-05,-1.89026e-05,0,0.349256,0.196772,0.110837,0,0,0
36,0.0494682,0.00132538,0.030601,0.0407222,0.177183,0.00121224,0.00256835,0.0929481,0.221049,-2.31236e-05,-2.03708e-05,0,0.349256,0.195675,0.109859,0,0,0
37,0.0507912,0.00132295,0.0314554,0.0419977,0.186727,0.00125003,0.0026549,0.0949928,0.221049,-2.49377e-05,-2.1905e-05,0,0.349256,0.194569,0.108876,0,0,0
38,0.0521117,0.00132051,0.0323118,0.0432964,0.196191,0.00128876,0.00276789,0.0995699,0.221049,-2.68383e-05,-2.3506e-05,0,0.349256,0.193455,0.107889,0,0,0
39,0.0534299,0.00131826,0.0331689,0.0446189,0.205805,0.00132841,0.00292139,0.11892,0.221049,-2.88272e-05,-2.51749e-05,0,0.349256,0.192335,0.106898,0,0,0
40,0.0547461,0.00131614,0.0340275,0.0459659,0.215584,0.00136837,0.00309836,0.149256,0.221049,-3.09063e-05,-2.69125e-05,0,0.349256,0.191209,0.105905,0,0,0
41,0.0560602,0.00131408,0.034887,0.0473377,0.225473,0.00140697,0.00321749,0.156856,0.221049,-3.30772e-05,-2.87199e-05,0,0.349256,0.190077,0.10491,0,0,0
42,0.0573719,0.00131177,0.0357453,0.0487331,0.23542,0.00144372,0.00326701,0.138906,0.221049,-3.53411e-05,-3.05974e-05,0,0.349256,0.188941,0.103914,0,0,0
43,0.0586815,0.00130956,0.0366031,0.0501513,0.245772,0.00148028,0.00332166,0.123736,0.221049,-3.76997e-05,-3.25459e-05,0,0.349256,0.187801,0.102918,0,0,0
44,0.059989,0.00130753,0.0374601,0.0515926,0.258383,0.00151772,0.00341774,0.128545,0.221049,-4.01549e-05,-3.45664e-05,0,0.349256,0.186658,0.101922,0,0,0
45,0.0612945,0.0013055,0.0383176,0.053057,0.270449,0.00155725,0.00358525,0.144658,0.221049,-4.27084e-05,-3.66597e-05,0,0.349256,0.185513,0.100928,0,0,0
