step,time,dt,L1_fv,L2_fv,Linf_fv,L1_norm_fv,L2_norm_fv,Linf_norm_fv
133,0.0996429,0.000726023,0,0,0,0,0,0
134,0.100369,0.00072608,0,0,0,0,0,0
135,0.101095,0.000726186,0,0,0,0,0,0
136,0.101821,0.00072634,0,0,0,0,0,0
137,0.102548,0.000726539,0,0,0,0,0,0
138,0.103275,0.000726781,0,0,0,0,0,0
139,0.104002,0.000727066,0,0,0,0,0,0
140,0.104729,0.000727391,0,0,0,0,0,0
141,0.105457,0.000727756,0,0,0,0,0,0
142,0.106185,0.000728159,0,0,0,0,0,0
143,0.106914,0.000728599,0,0,0,0,0,0
144,0.107643,0.000729076,0,0,0,0,0,0
145,0.108372,0.00072934,0,0,0,0,0,0
146,0.109102,0.000729592,0,0,0,0,0,0
147,0.109832,0.00072988,0,0,0,0,0,0
148,0.110562,0.000730204,0,0,0,0,0,0
149,0.111292,0.000730563,0,0,0,0,0,0
150,0.112023,0.000730954,0,0,0,0,0,0
151,0.112755,0.000731378,0,0,0,0,0,0
152,0.113487,0.000731833,0,0,0,0,0,0
153,0.114219,0.000732319,0,0,0,0,0,0
154,0.114952,0.000732834,0,0,0,0,0,0
155,0.115685,0.000733379,0,0,0,0,0,0
156,0.116419,0.000733954,0,0,0,0,0,0
157,0.117153,0.000734407,0,0,0,0,0,0
158,0.117888,0.000734781,0,0,0,0,0,0
159,0.118623,0.000735183,0,0,0,0,0,0
160,0.119359,0.00073561,0,0,0,0,0,0
161,0.120095,0.000736064,0,0,0,0,0,0
162,0.120832,0.000736543,0,0,0,0,0,0
163,0.121569,0.000737046,0,0,0,0,0,0
164,0.122306,0.000737574,0,0,0,0,0,0
165,0.123044,0.000738125,0,0,0,0,0,0
166,0.123783,0.000738701,0,0,0,0,0,0
167,0.124522,0.000739299,0,0,0,0,0,0
168,0.125262,0.000739911,0,0,0,0,0,0
169,0.126003,0.000740322,0,0,0,0,0,0
170,0.126743,0.000740753,0,0,0,0,0,0
171,0.127485,0.000741206,0,0,0,0,0,0
172,0.128226,0.000741678,0,0,0,0,0,0
173,0.128968,0.00074217,0,0,0,0,0,0
174,0.129711,0.000742683,0,0,0,0,0,0
175,0.130454,0.000743215,0,0,0,0,0,0
176,0.131198,0.000743767,0,0,0,0,0,0
177,0.131942,0.000744338,0,0,0,0,0,0
178,0.132687,0.000744929,0,0,0,0,0,0
179,0.133433,0.00074541,0,0,0,0,0,0
180,0.134179,0.000745823,0,0,0,0,0,0
181,0.134925,0.000746254,0,0,0,0,0,0
182,0.135672,0.000746702,0,0,0,0,0,0
183,0.136419,0.000747166,0,0,0,0,0,0
184,0.137166,0.000747648,0,0,0,0,0,0
185,0.137915,0.000748148,0,0,0,0,0,0
186,0.138663,0.000748665,0,0,0,0,0,0
187,0.139412,0.000749199,0,0,0,0,0,0
188,0.140162,0.00074975,0,0,0,0,0,0
189,0.140912,0.000750128,0,0,0,0,0,0
190,0.141663,0.000750521,0,0,0,0,0,0
191,0.142414,0.00075093,0,0,0,0,0,0
192,0.143165,0.000751355,0,0,0,0,0,0
193,0.143917,0.000751796,0,0,0,0,0,0
194,0.144669,0.000752253,0,0,0,0,0,0
195,0.145422,0.000752727,0,0,0,0,0,0
196,0.146175,0.000753218,0,0,0,0,0,0
197,0.146929,0.000753725,0,0,0,0,0,0
198,0.147683,0.000754155,0,0,0,0,0,0
199,0.148437,0.000754531,0,0,0,0,0,0
200,0.149192,0.000754922,0,0,0,0,0,0
201,0.149948,0.000755328,0,0,0,0,0,0
202,0.150703,0.000755751,0,0,0,0,0,0
203,0.15146,0.000756189,0,0,0,0,0,0
204,0.152216,0.000756643,0,0,0,0,0,0
205,0.152973,0.000757113,0,0,0,0,0,0
206,0.153731,0.000757601,0,0,0,0,0,0
207,0.154489,0.000758105,0,0,0,0,0,0
208,0.155248,0.000758544,0,0,0,0,0,0
209,0.156007,0.000758937,0,0,0,0,0,0
210,0.156766,0.000759343,0,0,0,0,0,0
211,0.157526,0.000759763,0,0,0,0,0,0
212,0.158286,0.000760196,0,0,0,0,0,0
213,0.159047,0.000760644,0,0,0,0,0,0
214,0.159808,0.000761105,0,0,0,0,0,0
215,0.160569,0.00076158,0,0,0,0,0,0
216,0.161331,0.000762068,0,0,0,0,0,0
217,0.162094,0.00076257,0,0,0,0,0,0
218,0.162857,0.000762986,0,0,0,0,0,0
219,0.16362,0.000763348,0,0,0,0,0,0
220,0.164384,0.000763711,0,0,0,0,0,0
221,0.165148,0.000764074,0,0,0,0,0,0
222,0.165912,0.000764435,0,0,0,0,0,0
223,0.166677,0.000764791,0,0,0,0,0,0
224,0.167442,0.000764923,0,0,0,0,0,0
225,0.168207,0.000764999,0,0,0,0,0,0
226,0.168972,0.000764775,0,0,0,0,0,0
227,0.169736,0.000764509,0,0,0,0,0,0
228,0.170501,0.000764204,0,0,0,0,0,0
229,0.171265,0.000763864,0,0,0,0,0,0
230,0.172028,0.000763498,0,0,0,0,0,0
231,0.172791,0.000763117,0,0,0,0,0,0
232,0.173554,0.000762735,0,0,0,0,0,0
233,0.174316,0.00076237,0,0,0,0,0,0
234,0.175078,0.000762042,0,0,0,0,0,0
235,0.17584,0.000761776,0,0,0,0,0,0
236,0.176602,0.000761599,0,0,0,0,0,0
237,0.177363,0.000761538,0,0,0,0,0,0
238,0.178125,0.000761624,0,0,0,0,0,0
239,0.178886,0.000761568,0,0,0,0,0,0
240,0.179648,0.000761151,0,0,0,0,0,0
241,0.180408,0.000760788,0,0,0,0,0,0
242,0.181169,0.000760506,0,0,0,0,0,0
243,0.181929,0.000760333,0,0,0,0,0,0
244,0.182689,0.000760298,0,0,0,0,0,0
245,0.18345,0.000760431,0,0,0,0,0,0
246,0.184211,0.000760759,0,0,0,0,0,0
247,0.184972,0.000761309,0,0,0,0,0,0
248,0.185734,0.000762105,0,0,0,0,0,0
249,0.186497,0.000763167,0,0,0,0,0,0
250,0.187261,0.000763431,0,0,0,0,0,0
251,0.188024,0.000763537,0,0,0,0,0,0
252,0.188788,0.000763827,0,0,0,0,0,0
253,0.189552,0.000764325,0,0,0,0,0,0
254,0.190317,0.000765054,0,0,0,0,0,0
255,0.191083,0.000766034,0,0,0,0,0,0
256,0.191851,0.000767282,0,0,0,0,0,0
257,0.19262,0.000768811,0,0,0,0,0,0
258,0.19339,0.00077063,0,0,0,0,0,0
259,0.194163,0.000772746,0,0,0,0,0,0
260,0.194937,0.00077427,0,0,0,0,0,0
261,0.195712,0.000775211,0,0,0,0,0,0
262,0.196489,0.000776402,0,0,0,0,0,0
263,0.197267,0.000777857,0,0,0,0,0,0
264,0.198046,0.000779584,0,0,0,0,0,0
265,0.198828,0.000781592,0,0,0,0,0,0
266,0.199612,0.000783883,0,0,0,0,0,0
267,0.2,0.000388307,0,0,0,0,0,0
