problem,method,nx,status,glm_ch_factor,glm_cr,glm_cd,glm_subcycles,glm_ch,glm_cp,final_L2_norm_fv,peak_L2_norm_fv,time_integrated_L2_norm_fv,final_Linf_norm_fv,min_pressure,energy_drift,total_wall_time_sec,diagnostic_file
orszag_tang,mixed_glm,64,finished,4.0,1.0,nan,4,8.84763,2.9745,0.00531645,0.00531645,0.00013291125000000002,0.0776767,0.107929,1.74835e-15,0.826114,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch4_sub4_cr1_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,4.0,0.18,nan,4,8.84763,1.26197,0.00598249,0.00598249,0.00014956225,0.0940383,0.108022,1.90729e-15,0.743061,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch4_sub4_cr0p18_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,4.0,0.5,nan,4,8.84763,2.10329,0.00543476,0.00543476,0.00013586900000000002,0.0815575,0.107952,1.90729e-15,0.785144,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch4_sub4_cr0p5_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,4.0,0.5,nan,2,8.84763,2.10329,0.00543496,0.00543496,0.000135874,0.0815579,0.107952,1.90729e-15,0.787899,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch4_sub2_cr0p5_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,4.0,0.18,nan,8,8.84763,1.26197,0.00598223,0.00598223,0.00014955575,0.0940372,0.108022,1.90729e-15,0.791627,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch4_sub8_cr0p18_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,4.0,0.18,nan,2,8.84763,1.26197,0.00598304,0.00598304,0.000149576,0.0940404,0.108022,1.90729e-15,0.79459,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch4_sub2_cr0p18_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,4.0,0.18,nan,1,8.84763,1.26197,0.00598304,0.00598304,0.000149576,0.0940404,0.108022,1.90729e-15,0.795219,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch4_sub1_cr0p18_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,4.0,0.5,nan,8,8.84763,2.10329,0.00543466,0.00543466,0.0001358665,0.0815573,0.107952,1.90729e-15,0.796846,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch4_sub8_cr0p5_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,4.0,0.5,nan,1,8.84763,2.10329,0.00543496,0.00543496,0.000135874,0.0815579,0.107952,1.90729e-15,0.840673,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch4_sub1_cr0p5_mixed_glm.csv
orszag_tang,hyperbolic_glm,64,finished,16.0,nan,nan,4,35.3905,nan,0.00353485,0.00353485,8.837125e-05,0.039156,0.108623,2.54305e-15,1.53885,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_hyperbolic_glm_ch16_sub4_unused_hyperbolic_glm.csv
orszag_tang,hyperbolic_glm,64,finished,16.0,nan,nan,2,35.3905,nan,0.00353485,0.00353485,8.837125e-05,0.039156,0.108623,2.54305e-15,1.57353,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_hyperbolic_glm_ch16_sub2_unused_hyperbolic_glm.csv
orszag_tang,hyperbolic_glm,64,finished,16.0,nan,nan,1,35.3905,nan,0.00353485,0.00353485,8.837125e-05,0.039156,0.108623,2.54305e-15,1.58994,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_hyperbolic_glm_ch16_sub1_unused_hyperbolic_glm.csv
orszag_tang,hyperbolic_glm,64,finished,16.0,nan,nan,8,35.3905,nan,0.00353488,0.00353488,8.8372e-05,0.0391579,0.108623,2.54305e-15,1.68488,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_hyperbolic_glm_ch16_sub8_unused_hyperbolic_glm.csv
orszag_tang,hyperbolic_glm,64,finished,4.0,nan,nan,4,8.84763,nan,0.00522419,0.00522419,0.00013060475,0.0736065,0.107905,2.70199e-15,0.745122,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_hyperbolic_glm_ch4_sub4_unused_hyperbolic_glm.csv
orszag_tang,hyperbolic_glm,64,finished,4.0,nan,nan,2,8.84763,nan,0.00522418,0.00522418,0.00013060450000000002,0.0736055,0.107905,2.70199e-15,0.754281,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_hyperbolic_glm_ch4_sub2_unused_hyperbolic_glm.csv
orszag_tang,hyperbolic_glm,64,finished,4.0,nan,nan,1,8.84763,nan,0.00522418,0.00522418,0.00013060450000000002,0.0736055,0.107905,2.70199e-15,0.783612,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_hyperbolic_glm_ch4_sub1_unused_hyperbolic_glm.csv
orszag_tang,hyperbolic_glm,64,finished,4.0,nan,nan,8,8.84763,nan,0.0052242,0.0052242,0.000130605,0.0736069,0.107905,2.70199e-15,0.819526,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_hyperbolic_glm_ch4_sub8_unused_hyperbolic_glm.csv
orszag_tang,mixed_glm,64,finished,8.0,0.5,nan,2,17.6953,2.9745,0.00463032,0.00463032,0.00011575800000000001,0.0599669,0.108323,3.17882e-15,1.01815,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch8_sub2_cr0p5_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,8.0,0.5,nan,8,17.6953,2.9745,0.00463036,0.00463036,0.000115759,0.0599668,0.108323,3.17882e-15,1.03056,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch8_sub8_cr0p5_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,8.0,0.5,nan,4,17.6953,2.9745,0.00463032,0.00463032,0.00011575800000000001,0.0599669,0.108323,3.17882e-15,1.09911,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch8_sub4_cr0p5_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,8.0,0.5,nan,1,17.6953,2.9745,0.00463032,0.00463032,0.00011575800000000001,0.0599669,0.108323,3.17882e-15,1.10098,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch8_sub1_cr0p5_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,8.0,0.1,nan,4,17.6953,1.33023,0.00575144,0.00575144,0.000143786,0.0788296,0.108445,4.13246e-15,1.04986,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch8_sub4_cr0p1_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,8.0,0.1,nan,2,17.6953,1.33023,0.00575144,0.00575144,0.000143786,0.0788296,0.108445,4.13246e-15,1.10052,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch8_sub2_cr0p1_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,8.0,0.1,nan,8,17.6953,1.33023,0.00575095,0.00575095,0.00014377375000000002,0.0788259,0.108445,4.13246e-15,1.10069,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch8_sub8_cr0p1_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,8.0,0.1,nan,1,17.6953,1.33023,0.00575144,0.00575144,0.000143786,0.0788296,0.108445,4.13246e-15,1.12292,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch8_sub1_cr0p1_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,16.0,0.05,nan,1,35.3905,1.33023,0.00624725,0.00624725,0.00015618125,0.0823596,0.108877,4.45034e-15,1.56933,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch16_sub1_cr0p05_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,16.0,0.05,nan,2,35.3905,1.33023,0.00624725,0.00624725,0.00015618125,0.0823596,0.108877,4.45034e-15,1.6363,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch16_sub2_cr0p05_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,16.0,0.05,nan,8,35.3905,1.33023,0.00624647,0.00624647,0.00015616175,0.0823475,0.108877,4.45034e-15,1.715,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch16_sub8_cr0p05_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,16.0,0.05,nan,4,35.3905,1.33023,0.00624725,0.00624725,0.00015618125,0.0823596,0.108877,4.45034e-15,1.86715,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch16_sub4_cr0p05_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,16.0,0.18,nan,1,35.3905,2.52394,0.00399453,0.00399453,9.986324999999999e-05,0.0484762,0.1087,5.08611e-15,1.50713,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch16_sub1_cr0p18_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,16.0,0.18,nan,8,35.3905,2.52394,0.00399446,0.00399446,9.98615e-05,0.0484773,0.1087,5.08611e-15,1.53905,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch16_sub8_cr0p18_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,16.0,0.18,nan,2,35.3905,2.52394,0.00399453,0.00399453,9.986324999999999e-05,0.0484762,0.1087,5.08611e-15,1.56415,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch16_sub2_cr0p18_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,16.0,0.18,nan,4,35.3905,2.52394,0.00399453,0.00399453,9.986324999999999e-05,0.0484762,0.1087,5.08611e-15,1.7722,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch16_sub4_cr0p18_mixed_glm.csv
orszag_tang,mixed_glm,128,finished,16.0,0.3,nan,2,35.4271,3.26008,0.00122244,0.00122244,3.0561e-05,0.0249709,0.108317,-5.08611e-15,12.0162,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n128_mixed_glm_ch16_sub2_cr0p3_mixed_glm.csv
orszag_tang,mixed_glm,128,finished,16.0,0.3,nan,4,35.4271,3.26008,0.00122244,0.00122244,3.0561e-05,0.0249709,0.108317,-5.08611e-15,12.0893,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n128_mixed_glm_ch16_sub4_cr0p3_mixed_glm.csv
orszag_tang,mixed_glm,128,finished,16.0,0.3,nan,8,35.4271,3.26008,0.00122244,0.00122244,3.0561e-05,0.0249709,0.108317,-5.08611e-15,12.1815,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n128_mixed_glm_ch16_sub8_cr0p3_mixed_glm.csv
orszag_tang,mixed_glm,128,finished,16.0,0.3,nan,1,35.4271,3.26008,0.00122244,0.00122244,3.0561e-05,0.0249709,0.108317,-5.08611e-15,12.6721,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n128_mixed_glm_ch16_sub1_cr0p3_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,16.0,0.1,nan,2,35.3905,1.88124,0.00459286,0.00459286,0.0001148215,0.0556401,0.108757,5.24505e-15,1.48952,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch16_sub2_cr0p1_mixed_glm.csv
orszag_tang,mixed_glm,64,finished,16.0,0.1,nan,1,35.3905,1.88124,0.00459286,0.00459286,0.0001148215,0.0556401,0.108757,5.24505e-15,1.49698,results/mhd_runner/glm_sweep/ot_runs/divergence/ot_glm_sweep_coarse_n64_mixed_glm_ch16_sub1_cr0p1_mixed_glm.csv
