problem,method,nx,ny,reconstruction,limiter,damping_mode,glm_ch_factor,glm_cd,glm_cr,glm_subcycles,glm_ch,glm_cp,glm_effective_cd,glm_effective_cr,status,final_time_reached,final_L2_norm_fv,peak_L2_norm_fv,time_integrated_L2_norm_fv,final_Linf_norm_fv,peak_Linf_norm_fv,min_pressure,min_density,has_nonfinite,has_negative_density,has_negative_pressure,energy_drift,total_wall_time_sec,seconds_per_step,cell_updates_per_second,cleaning_subcycles_total,failure_reason,summary_file,diagnostic_file
divergence_advection,mixed_eglm,128,128,plm,mc,cr,2.0,nan,0.3,1,4.58341,1.17261,0.995331,0.3,finished,1,0.000216126,0.000535426,1.87888e-05,0.000765721,0.00372446,0.987695,0.991632,0.0,0.0,0.0,-3.36042e-06,3.22518,0.0871671,187961.0,147,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_mixed_eglm_ch2_sub1_cr0p3_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_mixed_eglm_ch2_sub1_cr0p3_mixed_eglm.csv
divergence_advection,mixed_eglm,128,128,plm,mc,cr,2.0,nan,0.5,1,4.58341,1.51384,0.997196,0.5,finished,1,0.000250421,0.000535426,1.9646175e-05,0.000911664,0.00372446,0.987622,0.991649,0.0,0.0,0.0,-3.1288e-06,2.90422,0.0784925,208733.0,147,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_mixed_eglm_ch2_sub1_cr0p5_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_mixed_eglm_ch2_sub1_cr0p5_mixed_eglm.csv
divergence_advection,mixed_eglm,128,128,plm,mc,cr,4.0,nan,0.1,1,9.16682,0.957435,0.98609,0.1,finished,1,2.97602e-05,0.000535426,1.4129654999999998e-05,8.32346e-05,0.00372446,0.989034,0.99182,0.0,0.0,0.0,-4.05536e-06,3.22978,0.0872913,187693.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_mixed_eglm_ch4_sub1_cr0p1_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_mixed_eglm_ch4_sub1_cr0p1_mixed_eglm.csv
divergence_advection,mixed_eglm,128,128,plm,mc,cr,4.0,nan,0.18,1,9.16682,1.28453,0.992257,0.18,finished,1,8.23168e-05,0.000535426,1.544357e-05,0.000234675,0.00372446,0.988937,0.99189,0.0,0.0,0.0,-3.90539e-06,3.35318,0.0906264,180786.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_mixed_eglm_ch4_sub1_cr0p18_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_mixed_eglm_ch4_sub1_cr0p18_mixed_eglm.csv
divergence_advection,mixed_eglm,128,128,plm,mc,cr,4.0,nan,0.3,1,9.16682,1.65833,0.99535,0.3,finished,1,0.000139563,0.000535426,1.6874725e-05,0.000397026,0.00372446,0.988885,0.991931,0.0,0.0,0.0,-3.5591e-06,3.3199,0.089727,182598.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_mixed_eglm_ch4_sub1_cr0p3_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_mixed_eglm_ch4_sub1_cr0p3_mixed_eglm.csv
divergence_advection,mixed_eglm,128,128,plm,mc,cr,4.0,nan,0.5,1,9.16682,2.14089,0.997208,0.5,finished,1,0.000190153,0.000535426,1.8139475e-05,0.000538865,0.00372446,0.988853,0.991956,0.0,0.0,0.0,-3.11861e-06,4.24357,0.114691,142853.0,294,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_mixed_eglm_ch4_sub1_cr0p5_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_mixed_eglm_ch4_sub1_cr0p5_mixed_eglm.csv
divergence_advection,gi_mixed_eglm,128,128,plm,mc,cr,2.0,nan,0.1,1,4.58341,0.677009,0.986056,0.1,finished,1,0.000114439,0.000535426,1.6246625e-05,0.000335885,0.00372446,0.988164,0.991729,0.0,0.0,0.0,-3.85048e-06,2.63135,0.0711177,230379.0,147,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch2_sub1_cr0p1_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch2_sub1_cr0p1_gi_mixed_eglm.csv
divergence_advection,gi_mixed_eglm,128,128,plm,mc,cr,2.0,nan,0.18,1,4.58341,0.908303,0.992234,0.18,finished,1,0.000167407,0.000535426,1.7570825e-05,0.000556782,0.00372446,0.987991,0.991781,0.0,0.0,0.0,-3.7322e-06,2.57058,0.0694752,235825.0,147,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch2_sub1_cr0p18_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch2_sub1_cr0p18_gi_mixed_eglm.csv
divergence_advection,gi_mixed_eglm,128,128,plm,mc,cr,2.0,nan,0.3,1,4.58341,1.17261,0.995335,0.3,finished,1,0.000211505,0.000535426,1.8673275e-05,0.000759861,0.00372446,0.987891,0.99181,0.0,0.0,0.0,-3.51329e-06,3.0427,0.082235,199234.0,147,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch2_sub1_cr0p3_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch2_sub1_cr0p3_gi_mixed_eglm.csv
divergence_advection,gi_mixed_eglm,128,128,plm,mc,cr,2.0,nan,0.5,1,4.58341,1.51384,0.997199,0.5,finished,1,0.000245131,0.000535426,1.9513925e-05,0.000905984,0.00372446,0.987825,0.991829,0.0,0.0,0.0,-3.28682e-06,3.28407,0.0887586,184591.0,147,,results/mhd_runner/summaries/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch2_sub1_cr0p5_gi_mixed_eglm_summary.csv,results/mhd_runner/divergence/glm_sweep_divergence_advection_n128_gi_mixed_eglm_ch2_sub1_cr0p5_gi_mixed_eglm.csv
