problem,method,reconstruction,limiter,nx,ny,ncell,tfinal,threads,repeat,solver_time_sec,total_wall_time_sec,hydro_time_sec,cleaning_time_sec,iteration_count,time_per_iteration_sec,final_residual_L2_fv,final_residual_Linf_fv,energy_drift,status,summary_file
divergence_advection,none,plm,mc,256,256,65536,0.02,2,2,7.038178768,8.39785,7.03812,5.8768e-05,30,0.23460595893333333,0.0700611,0.485564,2.72209e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n256_t2_r2_none_summary.csv
divergence_advection,none,plm,mc,256,256,65536,0.02,2,3,7.083861993,8.4537,7.0838,6.1993e-05,30,0.23612873310000002,0.0700611,0.485564,2.72209e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n256_t2_r3_none_summary.csv
divergence_advection,none,plm,mc,256,256,65536,0.02,4,1,4.399662579,5.70819,4.39959,7.2579e-05,30,0.1466554193,0.0700611,0.485564,2.72209e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n256_t4_r1_none_summary.csv
divergence_advection,none,plm,mc,256,256,65536,0.02,4,2,4.407967521,5.73698,4.4079,6.7521e-05,30,0.1469322507,0.0700611,0.485564,2.72209e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n256_t4_r2_none_summary.csv
divergence_advection,none,plm,mc,256,256,65536,0.02,4,3,4.384935696,5.70211,4.38487,6.5696e-05,30,0.1461645232,0.0700611,0.485564,2.72209e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n256_t4_r3_none_summary.csv
divergence_advection,none,plm,mc,256,256,65536,0.02,8,1,2.764643201,4.0481,2.76458,6.3201e-05,30,0.09215477336666668,0.0700611,0.485564,2.72209e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n256_t8_r1_none_summary.csv
divergence_advection,none,plm,mc,256,256,65536,0.02,8,2,2.791352635,4.05455,2.79129,6.2635e-05,30,0.09304508783333333,0.0700611,0.485564,2.72209e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n256_t8_r2_none_summary.csv
divergence_advection,none,plm,mc,256,256,65536,0.02,8,3,2.77499748,4.03117,2.77494,5.748e-05,30,0.092499916,0.0700611,0.485564,2.72209e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n256_t8_r3_none_summary.csv
divergence_advection,none,plm,mc,256,256,65536,0.02,16,1,2.874564957,4.06781,2.87451,5.4957e-05,30,0.0958188319,0.0700611,0.485564,2.72209e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n256_t16_r1_none_summary.csv
divergence_advection,none,plm,mc,256,256,65536,0.02,16,2,1.990238038,2.98516,1.9902,3.8038e-05,30,0.06634126793333334,0.0700611,0.485564,2.72209e-14,finished,results/openmp_scaling_runs/summaries/openmp_divergence_advection_none_n256_t16_r2_none_summary.csv
