problem,method,nx,ny,ncell,tfinal,ranks,repeat,solver_time_sec,total_wall_time_sec,hydro_time_sec,cleaning_time_sec,iteration_count,time_per_iteration_sec,final_residual_L2_fv,final_residual_Linf_fv,energy_drift,status,summary_file
divergence_advection,none,256,256,65536,0.02,1,1,7.131295117,7.88925,7.13122,7.5117e-05,30,0.23770983723333333,0.0700611,0.485564,2.72209e-14,finished,results/mpi_scaling_runs/summaries/mpi_divergence_advection_none_n256_p1_r1_none_summary.csv
divergence_advection,none,256,256,65536,0.02,1,2,7.106064083000001,7.86337,7.10599,7.4083e-05,30,0.2368688027666667,0.0700611,0.485564,2.72209e-14,finished,results/mpi_scaling_runs/summaries/mpi_divergence_advection_none_n256_p1_r2_none_summary.csv
divergence_advection,none,256,256,65536,0.02,1,3,7.188935897,7.95628,7.18886,7.5897e-05,30,0.23963119656666668,0.0700611,0.485564,2.72209e-14,finished,results/mpi_scaling_runs/summaries/mpi_divergence_advection_none_n256_p1_r3_none_summary.csv
divergence_advection,none,256,256,65536,0.02,2,1,3.838280937,4.29908,3.83823,5.0937e-05,30,0.12794269789999999,0.0700611,0.485564,2.72209e-14,finished,results/mpi_scaling_runs/summaries/mpi_divergence_advection_none_n256_p2_r1_none_summary.csv
divergence_advection,none,256,256,65536,0.02,2,2,3.8195676929999998,4.28204,3.81952,4.7693e-05,30,0.12731892309999998,0.0700611,0.485564,2.72209e-14,finished,results/mpi_scaling_runs/summaries/mpi_divergence_advection_none_n256_p2_r2_none_summary.csv
divergence_advection,none,256,256,65536,0.02,2,3,3.8447156789999997,4.30627,3.84467,4.5679e-05,30,0.1281571893,0.0700611,0.485564,2.72209e-14,finished,results/mpi_scaling_runs/summaries/mpi_divergence_advection_none_n256_p2_r3_none_summary.csv
divergence_advection,none,256,256,65536,0.02,4,1,1.9772750760000002,2.31093,1.97724,3.5076e-05,30,0.0659091692,0.0700611,0.485564,2.72209e-14,finished,results/mpi_scaling_runs/summaries/mpi_divergence_advection_none_n256_p4_r1_none_summary.csv
divergence_advection,none,256,256,65536,0.02,4,2,2.1632421589999997,2.4816,2.1632,4.2159e-05,30,0.07210807196666666,0.0700611,0.485564,2.72209e-14,finished,results/mpi_scaling_runs/summaries/mpi_divergence_advection_none_n256_p4_r2_none_summary.csv
divergence_advection,none,256,256,65536,0.02,4,3,1.958477444,2.252,1.95843,4.7444e-05,30,0.06528258146666667,0.0700611,0.485564,2.72209e-14,finished,results/mpi_scaling_runs/summaries/mpi_divergence_advection_none_n256_p4_r3_none_summary.csv
divergence_advection,none,256,256,65536,0.02,8,1,1.739060447,2.05177,1.73902,4.0447e-05,30,0.057968681566666666,0.0700611,0.485564,2.72209e-14,finished,results/mpi_scaling_runs/summaries/mpi_divergence_advection_none_n256_p8_r1_none_summary.csv
divergence_advection,none,256,256,65536,0.02,8,2,1.780417539,2.09921,1.78037,4.7539e-05,30,0.0593472513,0.0700611,0.485564,2.72209e-14,finished,results/mpi_scaling_runs/summaries/mpi_divergence_advection_none_n256_p8_r2_none_summary.csv
divergence_advection,none,256,256,65536,0.02,8,3,1.76325247,2.07738,1.7632,5.247e-05,30,0.05877508233333333,0.0700611,0.485564,2.72209e-14,finished,results/mpi_scaling_runs/summaries/mpi_divergence_advection_none_n256_p8_r3_none_summary.csv
